"cluster","module","up_or_down","overlap_n","overlap_ratio","n_module_gene","n_universe_gene","GO","GO_padj","gene_use"
"2","turquoise","up",52,0.10337972166998,503,4413,"substrate adhesion-dependent cell spreading; regulation of muscle system process; cell-substrate adhesion; positive regulation of translational initiation; vascular associated smooth muscle cell migration; regulation of vascular associated smooth muscle cell migration; positive regulation of cell-substrate adhesion; negative regulation of peptidyl-tyrosine phosphorylation; neutral amino acid transport; carbohydrate derivative catabolic process; cAMP-mediated signaling; cellular response to epidermal growth factor stimulus; macrophage cytokine production; regulation of macrophage cytokine production; positive regulation of substrate adhesion-dependent cell spreading; response to epidermal growth factor; negative regulation of leukocyte apoptotic process; purine ribonucleotide catabolic process; purine nucleotide catabolic process; ribonucleotide catabolic process; positive regulation of protein phosphorylation; glycosphingolipid metabolic process; regulation of peptidyl-tyrosine phosphorylation; purine-containing compound catabolic process; positive regulation of phosphorylation; regulation of substrate adhesion-dependent cell spreading; nucleotide catabolic process; purine ribonucleotide metabolic process; carbohydrate derivative metabolic process; positive regulation of epithelial cell migration","0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304; 0.650474740083304","SUSD1;LITAF;RAB20;SERINC5;DNAAF9;SNX6;SLC2A9;ENSG00000260729;DOP1B;CUEDC1;PDE4B;DIP2C;GTF2IRD1;ARHGEF10L;XAF1;RASSF3;ADAP2;THEMIS2;PLEKHA2;TANGO2;PECAM1;SPIDR;LOXL3;PRKAG2;RABEP1;LARP1;PDE8A;GNA12;STK10;PIK3R5;TMEM51;ST3GAL1;TIMP2;FNBP1;MIATNB;RRN3P2;JARID2;RAB1A;MALAT1;AXL;SUMF1;SLC25A13;SNX29;TTC7B;PARP4;PARP14;RNF213;MAPKAP1;MYO9B;SH3BGRL;RREB1;DOCK5"
"2","brown","up",64,0.163265306122449,392,4413,"regulation of epidermal cell differentiation; regulation of epidermis development; response to hormone; response to oxygen-containing compound; response to alcohol; epidermal cell differentiation; response to endogenous stimulus; cellular response to oxygen-containing compound; regulation of G protein-coupled receptor signaling pathway; adenylate cyclase-activating G protein-coupled receptor signaling pathway; keratinocyte differentiation; cellular response to alcohol; G protein-coupled dopamine receptor signaling pathway; regulation of keratinocyte differentiation; response to organic cyclic compound; glycoprotein catabolic process; stem cell division; response to sterol; regulation of epithelial cell differentiation; response to nitrogen compound; cellular response to organic cyclic compound; regulation of synaptic vesicle endocytosis; developmental maturation; G protein-coupled receptor signaling pathway; intracellular sterol transport; epidermis development; adenylate cyclase-modulating G protein-coupled receptor signaling pathway; angiogenesis; peptide metabolic process; cellular response to low-density lipoprotein particle stimulus","0.52081629683678; 0.52081629683678; 0.64131865199432; 0.64131865199432; 0.64131865199432; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693; 0.657878986935693","CPM;TNFAIP2;NHSL1;SLC18B1;ABCA1;MAN1A1;PDGFC;KLF7;ZNF438;LINC02937;IFI44;GLDN;RNF13;ZBTB16;CD84;MERTK;GSAP;ATG16L2;COX10-DT;HNMT;MARCHF8;CPQ;LINC02328;CMAHP;NAALADL2;TXNIP;RNF130;CEBPD;LINC02245;NR3C2;MANBA;EPS15;PILRA;FKBP5;PDE3B;ARRDC2;LRRK2;ROCK1;GAB1;RAPH1;SGK1;GRAMD1B;LINC-PINT;PDCD4;GRK3;OSBPL1A;UTRN;STX7;NCOA3;FTX;LINC00865;CYRIA;JAK1;PSMA1;CSGALNACT1;HCLS1;NFIA;SPPL3;TBC1D12;ARHGAP24;ATF7IP;GNAQ;SMAP2;ZFHX3"
"2","pink","up",9,0.176470588235294,51,4413,"defense response to virus; response to virus; defense response to symbiont; defense response to other organism; response to external biotic stimulus; response to other organism; response to biotic stimulus; defense response; lipopolysaccharide-mediated signaling pathway; response to alkaloid; cell surface pattern recognition receptor signaling pathway; cell surface toll-like receptor signaling pathway; innate immune response; toll-like receptor signaling pathway; innate immune response activating cell surface receptor signaling pathway; positive regulation of protein secretion; macrophage activation; behavior; response to toxic substance; positive regulation of synaptic transmission; cellular response to lipopolysaccharide; response to ketone; carboxylic acid metabolic process; oxoacid metabolic process; cellular response to molecule of bacterial origin; organic acid metabolic process; regulation of protein secretion; cellular response to biotic stimulus; response to organic cyclic compound; response to hypoxia","0.00581910821148471; 0.0132396184974131; 0.0139574974193251; 0.0149095993176256; 0.0291881515851279; 0.0291881515851279; 0.0296394439319678; 0.0350684807780726; 0.0373466488317936; 0.0423793223662406; 0.0423793223662406; 0.0423793223662406; 0.0424015554848545; 0.0603862711933837; 0.0603862711933837; 0.0634437321873111; 0.0634437321873111; 0.0634437321873111; 0.0737710714784984; 0.0737710714784984; 0.10890043417771; 0.10890043417771; 0.10890043417771; 0.10890043417771; 0.10890043417771; 0.10890043417771; 0.111327806581773; 0.132404865011884; 0.132404865011884; 0.132404865011884","MX2;IFI44L;PRKCE;MX1;EPSTI1;TBC1D16;SLC1A3;NUDT16-DT;TLR2"
"2","blue","down",33,0.178378378378378,185,4413,"learning; learning or memory; cognition; modulation of chemical synaptic transmission; regulation of trans-synaptic signaling; neuron projection morphogenesis; plasma membrane bounded cell projection morphogenesis; cell projection morphogenesis; cell morphogenesis; synapse assembly; chemical synaptic transmission; anterograde trans-synaptic signaling; trans-synaptic signaling; metal ion transport; synaptic signaling; regulation of cell junction assembly; regulation of synapse assembly; central nervous system development; cell-cell signaling; cell junction assembly; associative learning; regulation of neuron projection development; neuron projection development; behavior; monoatomic cation transport; cell morphogenesis involved in neuron differentiation; neuron development; positive regulation of cell junction assembly; generation of neurons; inorganic cation transmembrane transport","0.000111816922607911; 0.00200991368775352; 0.00200991368775352; 0.00200991368775352; 0.00200991368775352; 0.00230078157543279; 0.00238232929517448; 0.00238232929517448; 0.00522340981304934; 0.00579782992491451; 0.00579782992491451; 0.00579782992491451; 0.00593807185943912; 0.00631508900696547; 0.00765813725766337; 0.00791739892099185; 0.00870171621479307; 0.0087722995249948; 0.0087722995249948; 0.00884759491804893; 0.0107609812018623; 0.0107609812018623; 0.0116433959237708; 0.0121370781863478; 0.0130523268860212; 0.0211072135899885; 0.0211072135899885; 0.0211072135899885; 0.0211072135899885; 0.021133583565823","MT-RNR1;MAP2;SNHG14;MT-RNR2;MT-ND2;MT-ND1;MT-CO3;MT3;ANKS1B;MT-CO1;CLU;NRG3;MT-CO2;MAST3;MT-ATP6;LSAMP;SYT1;DLGAP1;PTPRD;CSMD1;ADGRB3;KCNIP4;CKB;CNTNAP2;GRIN1;LRP1B;SNAP25;NALF1;CADM2;PLCB1;RBFOX1;FGF14;ROBO2"
