"subcluster","blue_score_1","turquoise_score_1","brown_score_1","green_score_1","black_score_1","yellow_score_1","red_score_1","pink_score_1"
"0",0.0453282808410592,0.0384644395666794,0.0295995182490949,0.279222004746321,1.10533609037596,1.91706843433058,0.0681421480398221,0.13644083377548
"1",-0.0509309976346106,0.0804693795788707,-0.0181656656359301,0.288474018408241,1.14195360233365,1.90294614442716,0.0601462115474232,0.283052604451612
"2",0.115491499212739,0.0105087717704487,0.0519502944062977,0.338972087287186,1.10453826665332,1.96740285896504,0.0473857822395438,0.195256996153647
"3",0.102283379023232,0.00450852084013221,0.0585371629685502,0.273147671121774,1.11442605869653,1.93718908887651,0.0569856650948955,0.0704787037568563
"4",0.07647161311289,0.0199392392414097,0.0184851890188226,0.33479882210971,1.05837607877127,1.9426661983942,0.0400409208441118,0.195374380532778
"5",-0.107349187109842,0.116511881880891,-0.0320851264773969,0.186736015945691,1.05176270531863,1.77377038952295,0.0688337309969417,0.327292847120626
"6",-0.00355095285443587,0.0541615422340514,0.032263445297161,0.286759975366053,1.13386134056277,1.93071146190503,0.0835837108523462,0.188820967456794
"7",0.0677160412911562,0.0388182808732969,-0.0151687331624484,0.244498972244679,1.02839095407923,1.79839303715624,0.0434913442611381,0.18366387473073
"8",0.259536367529741,-0.0196906137399658,-0.0278392573792602,0.192270925527434,0.647469316661323,1.4100764032654,-0.025540020359907,0.0730315211406308
"9",0.183813121951393,0.00480670022441464,-0.00761760518868636,0.224295557730095,0.804404246574937,1.63844443986841,-0.00490508789352009,0.141376528870707
