celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Excit,25686,27949,HERV3-int,2.77E-139,0.942830473,0.184,0.129,1.66E-137
Excit,25686,27949,MER41-int,1.99E-81,-0.137571156,0.389,0.462,1.19E-79
Excit,25686,27949,MER61-int,9.84E-77,0.171359753,0.378,0.4,5.90E-75
Excit,25686,27949,ERVL-B4-int,1.53E-76,-0.098934459,0.384,0.45,9.20E-75
Excit,25686,27949,HERVK14-int,1.73E-75,-0.303264657,0.098,0.144,1.04E-73
Excit,25686,27949,HERVK9-int,8.57E-73,-0.110104245,0.363,0.428,5.14E-71
Excit,25686,27949,HERVL-int,5.87E-70,-0.119139343,0.339,0.401,3.52E-68
Excit,25686,27949,Harlequin-int,4.41E-69,0.115879077,0.535,0.562,2.65E-67
Excit,25686,27949,HERVH-int,1.51E-68,-0.055877903,0.485,0.549,9.03E-67
Excit,25686,27949,HERVL74-int,1.12E-66,-0.471379527,0.093,0.14,6.73E-65
Excit,25686,27949,HUERS-P1-int,9.53E-64,-0.214961411,0.121,0.165,5.72E-62
Excit,25686,27949,MER4B-int,1.46E-62,-0.059249546,0.293,0.343,8.75E-61
Excit,25686,27949,HERVL40-int,6.14E-62,-0.02794613,0.224,0.268,3.68E-60
Excit,25686,27949,ERV3-16A3-I-int,2.96E-61,-0.062617485,0.413,0.469,1.77E-59
Excit,25686,27949,MER4-int,3.12E-60,0.007536109,0.52,0.568,1.87E-58
Excit,25686,27949,HERVK-int,1.17E-58,-0.067385605,0.198,0.243,7.04E-57
Excit,25686,27949,ERVL-E-int,1.88E-58,-0.034892228,0.586,0.639,1.13E-56
Excit,25686,27949,HERVK14C-int,7.04E-58,-0.402928897,0.035,0.062,4.22E-56
Excit,25686,27949,LTR25-int,2.37E-54,-0.020222273,0.269,0.309,1.42E-52
Excit,25686,27949,HERV4-I-int,2.40E-51,0.110740716,0.233,0.256,1.44E-49
Excit,25686,27949,PRIMA4-int,3.33E-51,0.037993676,0.223,0.258,2.00E-49
Excit,25686,27949,MER101-int,5.22E-51,-0.209129474,0.18,0.227,3.13E-49
Excit,25686,27949,HERVP71A-int,5.75E-50,-0.315922362,0.084,0.119,3.45E-48
Excit,25686,27949,HUERS-P3b-int,3.12E-49,-0.086972009,0.134,0.17,1.87E-47
Excit,25686,27949,HERVIP10F-int,2.00E-47,-0.083432865,0.234,0.276,1.20E-45
Excit,25686,27949,HUERS-P3-int,1.02E-46,0.020171881,0.179,0.211,6.12E-45
Excit,25686,27949,HERVK13-int,5.20E-46,-0.265514154,0.119,0.158,3.12E-44
Excit,25686,27949,HERVK11-int,3.12E-40,0.052406867,0.211,0.237,1.87E-38
Excit,25686,27949,HERVIP10FH-int,1.25E-39,-0.020583515,0.199,0.231,7.48E-38
Excit,25686,27949,HERV17-int,1.53E-38,-0.177351988,0.151,0.187,9.15E-37
