"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERVK",5.57084176333151e-191,-0.0657696586411538,0.534,0.6,2.2283367053326e-190
"ERVL",6.83235404937336e-138,-0.0490463671520569,0.658,0.712,2.73294161974934e-137
"ERV1",1.15893435275376e-49,0.0259220349313192,0.893,0.911,4.63573741101505e-49
"HERV-total",9.47892264257574e-12,-0.00457277553894198,0.951,0.958,3.7915690570303e-11
