celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Inhib,10694,11215,HERVE,1.71E-07,0.065236559,0.084,0.096,3.07E-06
Inhib,10694,11215,HERVP,2.56E-07,-0.096777251,0.051,0.065,4.61E-06
Inhib,10694,11215,HERVF,7.31E-07,0.174351966,0.09,0.096,1.32E-05
Inhib,10694,11215,PAB,0.029149063,-0.036722088,0.044,0.05,0.524683138
Endo,577,1581,HERVI,0.003413939,-0.712496641,0.123,0.142,0.0614509
Endo,577,1581,MER4,0.008943482,-0.211220288,0.486,0.501,0.160982685
Endo,577,1581,ERV1,0.013732312,0.355961388,0.163,0.118,0.24718162
Endo,577,1581,ERV3,0.015588628,-0.087616067,0.144,0.111,0.280595298
Endo,577,1581,HERVH,0.031446274,-0.266484378,0.192,0.203,0.566032927
Endo,577,1581,LTR,0.069490336,-0.41762262,0.096,0.088,1
Endo,577,1581,HERVK,0.074540764,-0.058092809,0.368,0.341,1
Endo,577,1581,PRIMA,0.09945037,0.58949897,0.066,0.043,1
Endo,577,1581,HERVL,0.170430331,-0.041965757,0.197,0.179,1
Endo,577,1581,ERVL,0.225664808,0.22855176,0.301,0.263,1
Endo,577,1581,HARLEQUIN,0.254328206,0.313968912,0.238,0.205,1
Endo,577,1581,PAB,0.436129799,-0.309873234,0.053,0.057,1
Endo,577,1581,HERVW,0.438273967,-0.355114236,0.087,0.092,1
Endo,577,1581,HUERS,0.791100521,0.013643026,0.108,0.109,1
Mic,3072,3548,HARLEQUIN,8.33E-05,0.281022828,0.309,0.294,0.001499973
Mic,3072,3548,HERVW,0.001004178,-0.241981808,0.181,0.217,0.018075203
Mic,3072,3548,HERVI,0.017167455,0.239002671,0.169,0.164,0.309014198
Mic,3072,3548,MER4,0.021217145,-0.071000542,0.582,0.615,0.381908609
Mic,3072,3548,HERVE,0.058387017,0.42912529,0.077,0.063,1
Mic,3072,3548,ERV3,0.060584447,0.060922965,0.243,0.254,1
Mic,3072,3548,HUERS,0.068184525,-0.057579474,0.141,0.157,1
Mic,3072,3548,HERVK,0.080847114,0.016897282,0.365,0.381,1
Mic,3072,3548,LTR,0.243037342,0.131115285,0.149,0.134,1
Mic,3072,3548,HERVL,0.261680061,-0.024931416,0.199,0.21,1
Mic,3072,3548,ERV1,0.408885418,0.023587812,0.135,0.141,1
Mic,3072,3548,HERVS,0.626683182,-0.005772076,0.07,0.074,1
Mic,3072,3548,ERVL,0.779127575,0.026141452,0.302,0.302,1
Mic,3072,3548,PRIMA,0.79563708,0.038878069,0.052,0.049,1
Mic,3072,3548,HERVH,0.840049685,0.005034172,0.336,0.332,1
OPC,4947,5355,ERVL,8.50E-25,-0.005493504,0.523,0.595,1.53E-23
OPC,4947,5355,HERVL,8.92E-20,-0.108837824,0.324,0.394,1.61E-18
OPC,4947,5355,HERVK,3.78E-19,-0.049591795,0.541,0.616,6.81E-18
OPC,4947,5355,MER4,3.95E-19,-0.041308131,0.668,0.738,7.11E-18
OPC,4947,5355,HERVH,1.02E-17,0.175687736,0.33,0.363,1.84E-16
OPC,4947,5355,HERVW,1.50E-15,-0.238976047,0.14,0.191,2.71E-14
OPC,4947,5355,ERV1,1.92E-15,0.311055805,0.226,0.232,3.45E-14
OPC,4947,5355,HARLEQUIN,1.09E-14,0.087548541,0.35,0.385,1.97E-13
OPC,4947,5355,LTR,1.45E-14,-0.108705724,0.232,0.284,2.62E-13
OPC,4947,5355,HERVI,3.93E-14,0.035924964,0.212,0.251,7.08E-13
OPC,4947,5355,ERV3,1.35E-12,0.15558943,0.227,0.254,2.43E-11
OPC,4947,5355,HERVE,1.02E-11,0.102584132,0.179,0.209,1.83E-10
OPC,4947,5355,HUERS,1.19E-11,0.140639548,0.196,0.221,2.13E-10
OPC,4947,5355,HERVS,8.01E-08,-0.028943135,0.097,0.123,1.44E-06
OPC,4947,5355,PRIMA,0.005386049,-0.006554377,0.093,0.106,0.096948878
OPC,4947,5355,HERVF,0.006237909,0.006958468,0.063,0.072,0.112282366
OPC,4947,5355,PAB,0.0374882,-0.043366982,0.044,0.052,0.674787603
OPC,4947,5355,HERVP,0.04551979,-0.185094152,0.041,0.05,0.819356212
All,70349,81337,HARLEQUIN,1.57E-225,0.167775599,0.39,0.42,2.82E-224
All,70349,81337,HERVH,9.12E-225,0.024778428,0.349,0.404,1.64E-223
All,70349,81337,ERVL,6.94E-215,-0.053670169,0.49,0.554,1.25E-213
All,70349,81337,HERVL,1.83E-214,-0.045830354,0.339,0.399,3.29E-213
All,70349,81337,ERV1,2.86E-213,0.419949476,0.24,0.236,5.15E-212
All,70349,81337,HUERS,5.15E-198,-0.020450901,0.225,0.274,9.27E-197
All,70349,81337,HERVK,6.84E-191,-0.065769659,0.534,0.6,1.23E-189
All,70349,81337,MER4,2.27E-180,-0.052247809,0.654,0.716,4.09E-179
All,70349,81337,ERV3,1.23E-172,-0.043717586,0.264,0.313,2.22E-171
All,70349,81337,LTR,7.34E-169,-0.013615451,0.235,0.278,1.32E-167
All,70349,81337,HERVI,3.42E-166,0.013268144,0.262,0.306,6.16E-165
All,70349,81337,HERVW,5.31E-119,-0.113452012,0.146,0.183,9.56E-118
All,70349,81337,PRIMA,1.36E-116,0.02917367,0.166,0.195,2.44E-115
All,70349,81337,HERVE,8.98E-86,0.103100874,0.11,0.128,1.62E-84
All,70349,81337,HERVP,1.50E-84,-0.226389722,0.051,0.071,2.69E-83
All,70349,81337,HERVS,1.12E-71,-0.014809157,0.108,0.129,2.01E-70
All,70349,81337,PAB,2.78E-71,0.013123869,0.057,0.073,5.01E-70
All,70349,81337,HERVF,9.97E-56,0.051990855,0.086,0.1,1.80E-54
