"","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","celltype","n_NC","n_AD"
"1","ERVL",1.97837648559628e-29,-0.0909253552475269,0.561,0.634,7.91350594238514e-29,"Astro",7775,9280
"2","ERVK",1.04675790307096e-28,-0.130269057677785,0.556,0.635,4.18703161228383e-28,"Astro",7775,9280
"3","HERV-total",6.3998400021196e-08,-0.0585835710080937,0.941,0.954,2.55993600084784e-07,"Astro",7775,9280
"4","ERV1",2.39572695315983e-07,-0.0265181358981392,0.868,0.895,9.58290781263931e-07,"Astro",7775,9280
"5","ERVK",0.0814000476804649,-0.0580928087154702,0.368,0.341,0.32560019072186,"Endo",577,1581
"6","ERV1",0.222909398612753,-0.107081984862662,0.75,0.768,0.891637594451012,"Endo",577,1581
"7","ERVL",0.409248515520921,0.075456963670983,0.454,0.425,1,"Endo",577,1581
"8","HERV-total",0.511478198977091,-0.0608512781342334,0.862,0.875,1,"Endo",577,1581
"9","ERVK",1.60293136045562e-41,-0.0995666800272927,0.674,0.728,6.4117254418225e-41,"Excit",25686,27949
"10","HERV-total",2.40539920586336e-21,-0.031515763496218,0.976,0.973,9.62159682345343e-21,"Excit",25686,27949
"11","ERVL",9.57567685579572e-20,-0.0779257914892044,0.821,0.847,3.83027074231829e-19,"Excit",25686,27949
"12","ERV1",0.0707188987167101,0.00330057875232415,0.948,0.948,0.282875594866841,"Excit",25686,27949
"13","ERVK",2.71270003396238e-28,-0.115774206298641,0.542,0.612,1.08508001358495e-27,"Inhib",10694,11215
"14","ERVL",1.6928212677715e-19,0.0153720554571453,0.682,0.718,6.77128507108599e-19,"Inhib",10694,11215
"15","ERV1",6.88497074057674e-11,0.0818698852553914,0.896,0.896,2.7539882962307e-10,"Inhib",10694,11215
"16","HERV-total",0.0228024210406018,0.0374246930440663,0.955,0.953,0.0912096841624071,"Inhib",10694,11215
"17","ERVL",0.0642098855082354,0.0203126911858891,0.535,0.552,0.256839542032942,"Mic",3072,3548
"18","ERV1",0.0921584720359491,0.0265913398778848,0.876,0.889,0.368633888143796,"Mic",3072,3548
"19","HERV-total",0.0973992406424432,0.0243010363178922,0.936,0.945,0.389596962569773,"Mic",3072,3548
"20","ERVK",0.155042711860511,0.0168972820300253,0.365,0.381,0.620170847442045,"Mic",3072,3548
"21","ERVK",6.45126653074681e-77,0.0264030160189175,0.382,0.434,2.58050661229872e-76,"Oligo",17598,22409
"22","ERVL",2.87244521429097e-70,-0.00887732375978523,0.51,0.568,1.14897808571639e-69,"Oligo",17598,22409
"23","ERV1",1.74645015335508e-39,0.0495488017704369,0.843,0.873,6.98580061342032e-39,"Oligo",17598,22409
"24","HERV-total",3.50575799764186e-15,0.0335826349650938,0.927,0.941,1.40230319905674e-14,"Oligo",17598,22409
"25","ERVL",2.08733346939047e-21,-0.010975808174658,0.691,0.757,8.34933387756186e-21,"OPC",4947,5355
"26","ERVK",1.84275429636037e-19,-0.0495917953607765,0.541,0.616,7.37101718544148e-19,"OPC",4947,5355
"27","ERV1",2.33874222336278e-13,0.029701503253313,0.906,0.937,9.35496889345113e-13,"OPC",4947,5355
"28","HERV-total",5.82681549570927e-06,0.00878132151780608,0.959,0.975,2.33072619828371e-05,"OPC",4947,5355
