"subcluster","yellow_score_1","blue_score_1","brown_score_1","turquoise_score_1","red_score_1","green_score_1"
"0",0.00741644060532573,1.28718730894244,-0.060681087756092,-0.0195175939632028,-0.13572327833064,0.0714158047805386
"1",-0.0346301694765137,1.13488603152711,-0.134424510943529,-0.0175135562604155,0.314413770127423,0.141214335863176
"2",-0.0190848489661006,1.08534359369307,-0.0991660750140451,-0.020615150552476,0.308683747081026,0.0882926262486858
"3",0.0109876783963148,1.10576263192956,0.00378942736118957,-0.0424745182972441,0.0618889027501342,0.0181599384233056
"4",-0.0210152409710784,1.12153469648162,-0.102930658192224,-0.0258156935784629,0.11321198667857,0.376399725213821
"5",0.00360036714482275,1.11688532901734,-0.0553341579207099,-0.0313514735737429,0.0278597635328952,0.0239699228361278
"6",0.0358210856060799,1.13668231052279,-0.0412796135753974,-0.0361859436490958,0.0131941396496341,0.0533656175437988
