"subcluster","blue_score_1","turquoise_score_1","brown_score_1","green_score_1","red_score_1","yellow_score_1","black_score_1","pink_score_1"
"0",-0.132820411971355,0.0726877885736459,0.471246562679688,0.0979465526180974,0.204848107002452,0.0570807168863715,-0.0311934586234741,0.0877389285719578
"1",-0.109407039852712,0.0331858731111433,0.346987860568726,0.227535037597694,0.0484964582582791,0.129857483375602,0.024943580911744,0.121463749274784
"2",-0.136166192881446,0.0644153645479881,0.372402426715293,0.142181998403553,-0.0223083560187541,0.0744316929967475,-0.0268574990657341,0.0961671603803478
"3",0.309801155766302,-0.0129349845058173,0.286148035924006,0.0474151333149774,0.0614016991594492,0.0344060929210578,-0.0244503551663043,0.0121545771088357
"4",0.0720660718781065,0.0303134620340413,0.275144883536224,0.0601709162467758,0.0499381659148145,0.0196665169512917,-0.100903347931234,-0.0206872021365793
"5",0.31241096875827,-0.0348798392897811,0.295941035008099,0.0682033527069562,0.066950474195451,0.0662103226818687,0.0277339461825254,0.0476446876261032
"6",0.00872157817761674,0.0851488311318764,0.0744179405533032,0.0682527798992573,-0.133188711956764,0.0517977051191109,-0.119741005751031,-0.0895712912214574
"7",-0.0868572780272094,0.0484769453237106,0.317043012872025,0.144354189778044,-0.0582993724154821,0.1300277687354,0.0238580833850628,0.0396270654665992
"8",-0.136410826146973,0.0741973348371034,0.309224424576451,0.242711769094243,0.121633293540446,0.0899671778475605,-0.00433744212171051,0.0780207511259012
"9",-0.0519181953337584,0.0422430096739358,0.317680501288236,0.152359374638292,-0.00171775741038626,0.119371506914892,-0.0433299590903123,0.0232560022475544
"10",0.00591899551201837,0.0511133085124002,0.199102962815403,0.192999679621599,-0.133245115670637,0.0788184588412892,-0.0339018309122756,0.110964236201427
