"cluster","module","up_or_down","overlap_n","overlap_ratio","n_module_gene","n_universe_gene","GO","GO_padj","gene_use"
"5","turquoise","up",827,0.587775408670931,1407,5062,"microfilament motor activity; actin filament binding; actin binding; cytoskeletal motor activity; histone methyltransferase activity; protein methyltransferase activity; nucleosome binding; S-adenosylmethionine-dependent methyltransferase activity; solute:sodium symporter activity; K63-linked polyubiquitin modification-dependent protein binding; histone H3 methyltransferase activity; GTPase activator activity; GTPase regulator activity; nucleoside-triphosphatase regulator activity; phosphatidylinositol-3,4-bisphosphate binding; phosphatidylinositol-4-phosphate binding; methyltransferase activity; sequence-specific DNA binding; cytoskeletal protein binding; N-methyltransferase activity; lysine N-methyltransferase activity; protein-lysine N-methyltransferase activity; phosphatidylinositol-3-phosphate binding; transferase activity, transferring one-carbon groups; myosin binding; organic anion transmembrane transporter activity; transmembrane signaling receptor activity; phosphatidylinositol-4,5-bisphosphate binding; sodium ion transmembrane transporter activity; SUMO binding","0.0361401103450726; 0.442203950067508; 0.460797934270444; 0.460797934270444; 0.569533031725309; 0.569533031725309; 0.587961630951578; 0.587961630951578; 0.587961630951578; 0.587961630951578; 0.758603878390175; 0.758603878390175; 0.758603878390175; 0.758603878390175; 0.758603878390175; 0.758603878390175; 0.758603878390175; 0.788348559978746; 0.788348559978746; 0.788348559978746; 0.788348559978746; 0.788348559978746; 0.788348559978746; 0.788348559978746; 0.788348559978746; 0.788348559978746; 0.826075241502843; 0.826075241502843; 0.826075241502843; 0.826075241502843","RASGRF1;ACTN2;ENPP6;ENSG00000294893;ANKRD18A;EPHB2;SNX24;MTUS1-DT;SORL1;ENSG00000287277;INTU;RASGRF2;GTF2IRD1;FGD4;ENSG00000241345;HEG1;LINC01877;SLC5A11;LINC00609;DPYSL5;STAT2;EFR3B;LRRC63;FBXO32;SLC25A29;TRAK1;ZDHHC14;ENSG00000270207;FLNB;TLK1;TLN2;PI16;GALNT15;TNS1;RAI14;KCNQ1OT1;ARHGAP22;SEMA4B;FAM171A1;ITGAV;CRYBG3;ENSG00000288075;MGAT5;NME9;TTLL5;PPP2R2C;ZDHHC20;PLA2G4C;RPS6KA2;PCSK6;SNX29;NOS1AP;AGPAT4;LMCD1-AS1;ELOVL6;EML1;ENSG00000267922;NBPF1;MCF2L2;DNAH17;GPT2;SLC13A3;LGR5;JAKMIP3;PTPRE;LINC01102;PRKX;ELOVL7;SH3TC2-DT;ARHGEF3;CORO2B;SLC25A13;TANGO2;SYNJ2;HECTD4;DLC1;SMOC1;ENSG00000296481;KEL;KIF5C;SSBP3;TRAF3;NAV2;TBC1D12;MEIS1;LINC01278;ENSG00000269237;CDK18;SFMBT2;STX18-AS1;KATNAL2;MVB12B;CEP85;CPEB1-AS1;PACS2;ITGA2;CHRM5;SETD7;MIATNB;EEPD1;TANC1;VLDLR-AS1;USP38-DT;SH3KBP1;CPEB1;LRP2;PLIN3;SANBR;EPB41L4A;POLD3;LDB3;SH3PXD2A;ZNF189;EPB41L2;SOBP;GNG7;TRPM6;AMPD3;ST3GAL4;MAST2;MSI2;WWC2;SRGAP3;LINC00342;ABHD12;TPCN1;RAB30;PADI2;ETFA;TBL1X;PHAF1;CKMT2-AS1;CHN2;ADCY3;CMIP;ATP9B;ENSG00000247121;LLGL2;SPIRE1;METTL8;LIN54;AIG1;CCDC7;TTLL9;CPD;DDI2;ENSG00000293268;SLC39A11;DGLUCY;PRR5L;SLC35E3;MIR497HG;SGK2;FDFT1;LINC03009;PRIMA1;IP6K3;RALGPS1;NDE1;LIMA1;RIN2;DTNB;FAM66A;LINC02226;ZMIZ1;SCLT1;ARHGEF37;SCMH1;ULK2;TMEM117;ENSG00000286162;ENSG00000259678;SVIL-AS1;ZNF708;CYRIB;SASH1;NEK1;DANT2;PER3;CCDC18-AS1;RNF213;GSN;CEP295;IBTK;KIFC3;WARS2-AS1;MYH9;LINC02895;GIPC1;CATSPERG;SGPP1;MYO1E;NDST1;LINC00630;SLC4A8;DLG5;RILPL1;RRAGC-DT;PPP1R12B;GRB10;TTC7A;ACSL1;MINDY2;JAZF1;ANKRD26;GARRE1;SEC14L5;BABAM2;CCNY;BCL2L13;ADCK1;NASP;FAM124A;ENSG00000304176;CYP2U1-AS1;DOCK3;LINC00882;ENSG00000226310;PTPN11;ZNF780B;COP1-DT;CHST3;AKAP9;DNAAF9;DNM2;PLPP1;INPP5B;RPS6KA5;ADAMTS18;PPP3CC;ENSG00000226471;L3MBTL2-AS1;ANKH;RUFY2;CPB1;RALGAPA2;SPIDR;NUAK1;PKP4;DMXL1-DT;CAMSAP1;ABHD18;ENSG00000286992;FAM222B;HERC4;CTBP2;MYH14;LMF1;PIK3CB;TSGA10;SMARCA4;ATP6V0D1-DT;ENSG00000298336;CYBRD1;KIF9-AS1;BACE1;LRRC4B;ENTPD1-AS1;USP40;ANP32A;ENSG00000259891;NCAPD2;IWS1;TPTEP1;TCF20;TMEM63A;REPS2;ERMP1;MYO9B;SERAC1;RASGRP3;DHX32;ERGIC1;CRYL1;ENSG00000291154;LINC03138;KIDINS220;STAMBP;RAB11FIP4;MFSD14CP;SORCS2;NAP1L4;FAM241A;ELF1;ENSG00000286856;ENSG00000293465;NUDT16-DT;PARP4;STAG3L5P-PVRIG2P-PILRB;ERICH1;SMURF1;UACA;ENSG00000289245;ENSG00000228950;GNB1;RHBDL2;ENSG00000260729;MPP2;TET3;IRAK2;ENSG00000287706;SNX6;TRAPPC9;PRMT2;NSD2;TVP23C-CDRT4;ACAD10;RCL1;ATXN2;SNX1;BRF1;CEP164;MACF1;SCAPER;SLC22A23;SLC23A2;EOLA2-DT;DNMT3A;ENSG00000285664;SH3YL1;CYB5R4;PDCD7;MSH2;SEMA4D;KATNBL1;TTLL11;WDR11-DT;LDLRAP1;TMEM184B;NOL4L;COMMD1;ENSG00000291175;WIPF1;HOOK3;ENSG00000232611;DSCAML1;ZNF248;RNF170;RABGEF1P1;CCDC92;GABPB2;ENSG00000286279;MYO5A;ARHGEF2;ANXA4;TRIM44;ATP11A;HSPA12A;TRPC1;CTNNBIP1;LINC02882;SH3BP5;ENSG00000310167;OTUD7A;ZKSCAN2-DT;POGZ;ZKSCAN1;ZNF710;MAP4;ENSG00000295839;FTCDNL1;PNISR-AS1;ANKRD36C;CHFR;ENSG00000287117;AMN1;RBM25;GAL3ST1;CBFA2T2;ENTPD3-AS1;ENSG00000289591;DGKD;BDP1;SUGT1P3;ATXN3;INSR;STX8;VSIG10;ZNF160;IQGAP1;COX19;GLDN;MYO9A;PDPR2P;CLASRP;PTPRF;ENSG00000290931;SLC35D2;ZNF235;PPP1R13B;GARS1-DT;ENSG00000285667;ZNF236;GPBP1L1;FAM228B;ZNF586;BTBD9;ZNRF1;ANKRD23;PUDP;GABPB1-AS1;TBC1D2;PC;LINC00174;TNRC18;AFMID;ENSG00000289956;C19orf12;OTUD7B;ZHX3;ZCWPW1;SRGAP2;NUP50-DT;CYP27A1;TSEN2;CPLANE1;PSEN1;USP4;STK39;CTPS2;TRIP4;ARHGAP17;GRK4;MFSD11;KIAA0232;FAM120B;GPR137C;ZMYND8;LDLRAD4;NEMP2-DT;NSMAF;GMDS-DT;TMCO3;SETX;SNX9;EPB41L1;TCF7L2;AGO3;LANCL2;MTMR7;CRTC1;PRKCZ;KDM2B;PRR14L;RSRP1;CASP8AP2;UBE2R2;OLMALINC;SRCIN1;CCDC82;PAAF1;KLHL42;STAG3L4;FAM174B;PHF20;TRNAU1AP;YEATS2;IFT172;LRRC8B;METTL6;ASAP2;GON4L;CEP104;ZNF721;POC1B-AS1;UBE2G1;MED27;GPR173;LINC02175;ZNF430;MDN1;MRTFA;JAKMIP2;ZNF439;FGFR2;NAA35;RAB6A;PRRC2C;ZFHX2-AS1;ARID4A;SUFU;EXOC2;ELAVL3;TOP1;RAB33B-AS1;ENSG00000262879;UBAP1L;ZC3H7B;ARHGAP27P1-BPTFP1-KPNA2P3;EPCAM-DT;NIFK-AS1;ENSG00000242861;HNRNPL;CUX1;SHROOM4;PRIMPOL;GXYLT2;EIF4G3;MYO15B;SLC27A4;SEC22A;VPS26C;DIP2A;ZNF254;TET1;HABP4;CUL4A;AHI1;CYP2J2;CABIN1;ZBTB8OS;MYO1D;TBC1D22A;GOLGB1;PCCB;NSUN6;OSBPL5;BOD1L1;DIS3L;TSPAN5;COG5;LITAF;KLHDC1;LINC03006;SLC22A15;RNF144A;ANKRD11;SLF2;TAF1D;PI4KA;TMCC2;FARP2;UBE2K;DAP3;EZH1;ACACA;CLIP2;UBE2E1;MICAL3;ZRANB3;PPIL2;ENSG00000293468;BAZ1B;RHBDD1;SEC14L1;SEC23IP;CFDP1;SPECC1;DUSP22;TRAPPC10;MTSS1;RNF169;BCLAF3;ELOA-AS1;ARHGAP23;SLC25A16;CLEC16A;DCP1A;EXO5-DT;PPARA;TPT1-AS1;NVL;UNC5B;IFT52;UBXN2A;ABHD6;LIN52;RABEP1;ZFAND3;PI4K2B;SYNDIG1;GOLGA4;MLXIP;SMARCAL1;NFAT5;ZSWIM7;SH3TC2;MBOAT2;MCCC1;TCP11L2;PCGF3-AS1;SLC16A1-AS1;ANKS3;BPTF;RAB40C;P2RX7;ZNF611;AGO2;ZNF135;CPPED1;COMMD10;RECK;PDS5A;DDX46;IKBKB;REV1;LINC00665;RNF8;TPD52;DHTKD1;GPI;RNF130;PACC1;SESTD1;ENSG00000290046;CALD1;WSB1;TTC27;ANKRD17-DT;FOXO1;JPX;UGDH-AS1;EYA3;R3HDM2;CAPZB;TTC7B;LUC7L;IRF2;ENSG00000264808;CDK12;STYXL1;DPF3;PPCDC;MGA;PLPP3;ZNF398;ZNF197;GAREM1;ENSG00000297100;ENSG00000268797;PRPF38B;JARID2;MINK1;MPHOSPH9;EFCAB13-DT;TBCD;ITGB1BP1;ZNF782;DYNC2I1;APPL2;SFXN1;TCP11L1;ZNF609;PRKAR2A;RNF157;NSD1;ENSG00000296299;CAMTA1;OXA1L-DT;CSNK1A1;NIPSNAP2;AAMDC;KIF16B;TPM4;NPRL3;PPFIBP1;TUBD1;ARIH2;MYO19;MTERF4;PARP6;TSPAN15;TNS2-AS1;RABGAP1;ZFP90;CYTH1;DSTYK;TFEB;LONP2;TYW1;PPP2R3C;SLC6A1;APTX;PALS1;FAM193A;SREBF2;ENSG00000291214;TIMP2;HERC2;ENSG00000269825;FA2H;TRAPPC11;UBE2D2;FOXK1;TCF25;PPARD;ENSG00000293497;ROCK1;PIEZO2;PTPRA;CRTC3;TRAF3IP2-AS1;ZSCAN30;SAFB2;ELMO2;MLH3;AP3D1;ATRN;GLG1;FAM178B;INO80;PGAP2;PCSK7;PARN;YLPM1;JUN-DT;CDS2;PPP4R1;RPRD2;BDNF-AS;GARNL3;EPCIP-AS1;UEVLD;ENSG00000287306;GUSBP11;ARMH3;MAU2;PIGL;TBK1;UBAP2;CCNY-AS1;ENSG00000244055;CTCF;KNOP1;PHYKPL;AFF4;ZZEF1;ETFDH;NBAS;LCMT1;CEP290;NAA25;EHMT1;TRIM24;SPTLC2;KLF3-AS1;ARHGAP35;FBXO42;FARS2;UPF3A;TYW1B;UBN1;CBFB;GRIK4;PIP5K1A;MAPKBP1;ZMYM5;PRMT7;PPP6R2;RAB40B;ARNT2;SAMD4B;ATPSCKMT;OSBPL9;EVA1C;ZFYVE1;ARL17B;ZFP14;INTS10;RBM19;MICU2;MBD2;DCUN1D2;GLYR1;MGAT3;DENND1A;COG7;SMG6;SMARCC1;SENP6;ATP1A1-AS1;KDM4B;MTCH2;SLC20A2;SLC27A1;ZIC1;SLTM;CRYBB2P1;NPLOC4;LINC00662;KDM3B;HGSNAT;PIBF1;SEC63;ANKRD36B;KCNK15-AS1;SAP130;EXT2;WDR59;GATAD2B;UBR4;TAMM41;SIPA1L3;CNOT10;ZNF606-AS1;RAD54L2;ARID1A;MON2;ARID4B;RNF214;ARHGEF18;UBR1;EML2;FMNL3;UBE4B;PLEKHM3;RPAP2;GRID1;CDC42BPB;SZT2;UBR2;ENSG00000249456;GLTP;USP32;ODR4;SYNRG;SRRM1;GALNT6;PXK;SPG11;TM9SF4;USP48;WBP1L;MARK4;ERBB3;S100PBP;FAM185A"
"3","yellow","up",18,0.295081967213115,61,5062,"calcium channel regulator activity; phosphatidylinositol kinase activity; tau-protein kinase activity; lipid kinase activity; gamma-tubulin binding; phosphoric ester hydrolase activity; DNA-binding transcription factor activity, RNA polymerase II-specific; phosphatidylinositol-3,4,5-trisphosphate binding; phosphoric diester hydrolase activity; DNA-binding transcription factor activity; signal sequence binding; PDZ domain binding; protein dimerization activity; RNA polymerase II transcription regulatory region sequence-specific DNA binding; structural constituent of cytoskeleton; myosin phosphatase activity; signaling receptor binding; structural molecule activity; protein serine/threonine phosphatase activity; transcription cis-regulatory region binding; transcription regulatory region nucleic acid binding; integrin binding; ion channel regulator activity; channel regulator activity; transmembrane transporter binding; transporter regulator activity; sequence-specific double-stranded DNA binding; GTPase regulator activity; nucleoside-triphosphatase regulator activity; double-stranded DNA binding","0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866; 0.424778407437866","PEX5L;GPM6B;SOX2-OT;ERBIN;FRMD5;PDE4B;NCAM2;ARAP2;SIK3;NCKAP5;NFIA;CADM1;PHLPP1;NPAS3;AUTS2;PIP4K2A;ZBTB20;ELMO1"
"9","blue","up",163,0.802955665024631,203,5062,"structural constituent of ribosome; structural molecule activity; inorganic cation transmembrane transporter activity; monoatomic cation transmembrane transporter activity; proton transmembrane transporter activity; inorganic molecular entity transmembrane transporter activity; monoatomic ion transmembrane transporter activity; monoatomic cation channel activity; transmembrane transporter activity; transporter activity; channel activity; passive transmembrane transporter activity; oxidoreduction-driven active transmembrane transporter activity; monoatomic ion channel activity; electron transfer activity; primary active transmembrane transporter activity; antioxidant activity; calcium-dependent protein binding; active monoatomic ion transmembrane transporter activity; NADH dehydrogenase (ubiquinone) activity; ubiquitin protein ligase binding; ubiquitin-like protein ligase binding; calmodulin binding; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; calcium channel activity; transmembrane transporter binding; transporter regulator activity; oxidoreductase activity, acting on NAD(P)H; calcium ion transmembrane transporter activity; calcium ion binding","2.67347280467731e-17; 7.10953743764681e-13; 1.00237327387726e-07; 1.35190378640378e-07; 2.86619011284924e-07; 4.02918721060507e-07; 1.49483172373196e-06; 9.54658339489339e-06; 1.09816842813202e-05; 3.21422102470002e-05; 9.11695743612632e-05; 9.11695743612632e-05; 9.11695743612632e-05; 0.000228171800149035; 0.000507655122919704; 0.000507655122919704; 0.000911684500494172; 0.00178409736859338; 0.00272060419284902; 0.00437093748080785; 0.00437694701100803; 0.00599822514256166; 0.0067676317971339; 0.00750833832949974; 0.014958271601538; 0.0226310872303369; 0.0226310872303369; 0.0243269888093009; 0.0293081070345947; 0.0394326567435487","NRGN;CHN1;SYT1;DNM1;SNAP25;GRIN1;GPM6A;NCDN;CALM3;SPARCL1;MAP2;NRG3;UCHL1;TUBA1B;NRXN1;NALF1;PKM;TMEM59L;ENO2;SEZ6L2;CLU;BSG;FAIM2;MT-CO1;TMSB10;NDUFS5;MRPL41;PPP2R1A;AP2M1;ATP5F1D;UBA52;ATP5F1B;TMSB4X;COX5B;GDI1;MT-RNR2;ARPP19;SNHG25;EDF1;MT-RNR1;ARHGDIA;COX4I1;FKBP8;EIF4A2;MT-CO3;GPX4;NORAD;KCNIP4;GAPDH;MT-ND4L;DPP7;GUK1;CALM1;ACAP3;MCRIP1;NDUFA3;CKB;ACADVL;MT3;DYNLL2;RPL36;ACTB;PPP3CA;ATP6V0B;MT-ND5;NDUFB7;RPS24;RAB11B;MT-ND1;ATP5F1E;MT-CO2;VPS28;CFL1;LENG8;RPL34;ENSG00000287001;EEF2;JUND;PPIA;YPEL3;PRNP;COX6C;ACTG1;ELOB;MAPK8IP1;NICOL1;PSAP;PRKCSH;MT-ND4;ATP5ME;RPS14;DNAJB2;UBC;MYL6;STMN1;ATP6AP1;MT-CYB;PEBP1;PTOV1;NDUFS7;SLC22A17;MT-ND3;SERF2;LAMTOR4;RPLP2;RPL13;DYNLL1;RPL28;SERINC1;RPL35;RPL32;MT2A;HNRNPK;SERINC3;SRP14;SELENOW;LINC00115;RPL19;EIF1;RABAC1;MT-ND2;RPS21;UBB;TUBB4A;ATP5MC2;NUCKS1;NME3;HAPLN2;RPL8;FAU;RPL18;LRP1B;PCBP1;SOD1;SNHG9;MT-ATP6;ENSG00000268756;SEPTIN4;CD81;TBCB;PRDX1;MIR219A2HG;TPPP;RPL30;RHOB;CSRP1;CTSF;ITM2B;FTL;BOK;MARCKSL1;ATP1B1;USP39;CSMD3;LAMP1;SOX8;RPS3;GLUL;RPS19;TMBIM6;DAZAP2;RPLP1;DPYSL2"
