"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERV1",9.65266274881635e-27,-0.0653075868678479,0.99,0.989,3.86106509952654e-26
"HERV-total",7.07448428924941e-19,-0.0437004093642521,0.998,0.997,2.82979371569976e-18
"ERVK",3.17480635452141e-13,-0.0390637823177964,0.818,0.8,1.26992254180856e-12
"ERVL",8.68607941943965e-06,0.00559079627730918,0.93,0.919,3.47443176777586e-05
