celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Excit,1210,3545,HERVK,1.95E-06,0.134435072,0.95,0.936,3.51E-05
Excit,1210,3545,HERVI,0.000218283,-0.159836945,0.816,0.828,0.003929089
Excit,1210,3545,ERVL,0.001243159,0.109106034,0.942,0.921,0.02237686
Excit,1210,3545,PRIMA,0.001876379,0.189971088,0.689,0.646,0.033774827
Excit,1210,3545,HERVW,0.001974607,-0.17605091,0.594,0.638,0.035542935
Excit,1210,3545,HUERS,0.00626088,-0.155652242,0.76,0.783,0.112695848
Excit,1210,3545,ERV1,0.01191963,0.179742468,0.563,0.532,0.214553344
Excit,1210,3545,PAB,0.043499548,0.210629749,0.283,0.249,0.782991863
Excit,1210,3545,HERVF,0.076732443,-0.063148811,0.323,0.356,1
Excit,1210,3545,HERVS,0.088778901,-0.002450966,0.527,0.562,1
Excit,1210,3545,HARLEQUIN,0.259048113,-4.04E-05,0.92,0.905,1
Excit,1210,3545,HERVE,0.288156475,0.113340496,0.464,0.46,1
Excit,1210,3545,HERVP,0.348933171,-0.08741136,0.452,0.472,1
Excit,1210,3545,HERVH,0.490671494,-0.037119665,0.798,0.788,1
Excit,1210,3545,ERV3,0.491587372,-0.056411719,0.829,0.836,1
Excit,1210,3545,HERVL,0.525737401,0.027418521,0.883,0.871,1
Excit,1210,3545,MER4,0.883199004,0.003353534,0.95,0.946,1
Excit,1210,3545,LTR,0.899058466,-0.007700926,0.735,0.742,1
Oligo,13647,20344,HERVI,2.89E-15,-0.144928341,0.596,0.611,5.19E-14
Oligo,13647,20344,HARLEQUIN,1.20E-08,-0.103243083,0.654,0.658,2.16E-07
Oligo,13647,20344,HERVE,4.55E-08,-0.282761958,0.134,0.156,8.19E-07
Oligo,13647,20344,HERVW,3.73E-07,-0.154292591,0.374,0.394,6.72E-06
Oligo,13647,20344,HERVH,1.43E-06,-0.120603053,0.47,0.48,2.57E-05
Oligo,13647,20344,MER4,2.24E-06,-0.020561846,0.893,0.881,4.04E-05
Oligo,13647,20344,LTR,3.70E-05,0.131264558,0.248,0.228,0.000665141
Oligo,13647,20344,ERV3,4.12E-05,-0.10714863,0.496,0.51,0.000741849
Oligo,13647,20344,HERVK,0.000142533,-0.048158695,0.78,0.775,0.002565597
Oligo,13647,20344,ERVL,0.000210727,0.025929069,0.764,0.744,0.003793087
Oligo,13647,20344,PAB,0.001115785,-0.019478017,0.117,0.111,0.020084136
Oligo,13647,20344,ERV1,0.010487518,0.034471872,0.196,0.184,0.188775326
Oligo,13647,20344,HERVS,0.015490825,-0.142326419,0.093,0.102,0.278834859
Oligo,13647,20344,HERVL,0.020557786,-0.005403432,0.596,0.583,0.37004014
Oligo,13647,20344,HUERS,0.412907556,-0.053665668,0.348,0.353,1
Oligo,13647,20344,HERVP,0.419132326,-0.082446414,0.152,0.155,1
Oligo,13647,20344,PRIMA,0.884254879,-0.002118146,0.176,0.174,1
Oligo,13647,20344,HERVF,0.966373283,-0.04753675,0.072,0.072,1
Astro,1613,2752,HERVK,4.03E-11,-0.22260166,0.913,0.927,7.26E-10
Astro,1613,2752,HARLEQUIN,1.62E-07,-0.167844976,0.827,0.815,2.92E-06
Astro,1613,2752,MER4,4.55E-06,-0.121976895,0.889,0.88,8.19E-05
Astro,1613,2752,HERVH,4.49E-05,-0.247950984,0.553,0.577,0.0008082
Astro,1613,2752,HERVW,6.51E-05,-0.352565122,0.332,0.361,0.00117132
Astro,1613,2752,HERVS,0.000609382,-0.428493032,0.176,0.22,0.010968877
Astro,1613,2752,ERVL,0.00627264,-0.129884673,0.783,0.796,0.112907526
Astro,1613,2752,HERVP,0.039229056,-0.331761655,0.21,0.24,0.706123004
Astro,1613,2752,ERV3,0.07840361,-0.104806275,0.577,0.586,1
Astro,1613,2752,HERVI,0.087591638,-0.07669576,0.55,0.54,1
Astro,1613,2752,HERVL,0.096856005,-0.102242521,0.678,0.678,1
Astro,1613,2752,PAB,0.141840076,-0.297547188,0.104,0.11,1
Astro,1613,2752,HUERS,0.150409079,-0.145424893,0.491,0.508,1
Astro,1613,2752,PRIMA,0.233281125,-0.0475522,0.453,0.442,1
Astro,1613,2752,LTR,0.522909602,-0.000238108,0.523,0.511,1
Astro,1613,2752,HERVF,0.62603962,-0.106798459,0.108,0.115,1
Astro,1613,2752,ERV1,0.650325571,-0.064138026,0.568,0.565,1
Astro,1613,2752,HERVE,0.737325558,0.099547126,0.167,0.162,1
Inhib,1560,3845,ERVL,4.54E-06,-0.064891926,0.901,0.872,8.18E-05
Inhib,1560,3845,MER4,1.55E-05,0.021136857,0.913,0.874,0.000279654
Inhib,1560,3845,HARLEQUIN,0.000231073,0.016304462,0.871,0.831,0.004159314
Inhib,1560,3845,HERVK,0.000288255,0.015225648,0.92,0.885,0.005188582
Inhib,1560,3845,PAB,0.001127148,0.269839217,0.159,0.121,0.02028867
Inhib,1560,3845,HERVI,0.00424307,-0.079451544,0.746,0.728,0.076375268
Inhib,1560,3845,HERVP,0.006086921,-0.35695536,0.314,0.332,0.109564578
