"module","trait","cor","n_gene","hub_gene","GO","GO_padj"
"blue","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK3.int; herv_HERVK13.int; AD_binary; herv_HERV3.int; herv_HERVE.int; herv_HERV.Fc1.int","0.227; 0.225; 0.176; 0.148; 0.132; 0.126; 0.121; 0.121; 0.105; 0.102; -0.072; 0.063; 0.047; -0.004",528,"ADGRB3; NRG3; RALYL; PDE4D; NALF1; FGF14; NRXN1; CSMD1; KHDRBS2; DLG2; PTPRD; ANKS1B; RIMS2; NAV3; MAGI2; NKAIN2; LRRC7; CSMD3; CADM2; FRMD4A; KALRN; CCSER1; AGBL4; MDGA2; CNTNAP2; NEGR1; GRM5; LINC-PINT; FGF12; KCNQ5","alternative mRNA splicing, via spliceosome; RNA splicing; sister chromatid segregation; RNA splicing, via transesterification reactions; RNA splicing, via transesterification reactions with bulged adenosine as nucleophile; mRNA splicing, via spliceosome; mRNA metabolic process; regulation of alternative mRNA splicing, via spliceosome; stem cell population maintenance; maintenance of cell number; post-transcriptional gene silencing; neuromuscular process; nuclear chromosome segregation; receptor clustering; social behavior; biological process involved in intraspecies interaction between organisms; regulation of mRNA metabolic process; mRNA processing; protein localization to centrosome; protein localization to microtubule organizing center; mitotic sister chromatid segregation; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum; regulation of mRNA splicing, via spliceosome; regulation of mRNA processing; positive regulation of cell cycle process; multicellular organism growth; cardiac muscle cell action potential involved in contraction; neurogenesis; regulatory ncRNA-mediated post-transcriptional gene silencing; embryonic skeletal system development","0.139301916900692; 0.139301916900692; 0.139301916900692; 0.139301916900692; 0.139301916900692; 0.139301916900692; 0.139301916900692; 0.139301916900692; 0.139301916900692; 0.139301916900692; 0.141893679240439; 0.17399840926852; 0.17399840926852; 0.17399840926852; 0.17399840926852; 0.17399840926852; 0.179036154864719; 0.196613301643182; 0.234573181675583; 0.234573181675583; 0.234573181675583; 0.382403062052952; 0.440709568493429; 0.440709568493429; 0.440709568493429; 0.440709568493429; 0.441404222738019; 0.441404222738019; 0.441404222738019; 0.441404222738019"
"green","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVK3.int; herv_HERVK11.int; herv_HERVK13.int; herv_HERV3.int; AD_binary; herv_HERVE.int; herv_HERV.Fc1.int","0.245; 0.222; 0.197; 0.145; 0.14; 0.126; 0.119; 0.115; 0.111; 0.101; 0.074; -0.063; 0.041; 0.001",247,"TARBP1; UNC80; CCDC91; SLC12A2-DT; ICA1; LRRC28; DNAAF9; CYRIB; FAM135A; CHD6; INVS; MICU2; VEZT; TASP1; MAP4K3-DT; AGTPBP1; VPS8; RCOR3; ENSG00000255910; TTC39C; RNF13; TRPC1; TTC8; ZNF248; SUMF1; USP15; SCFD1; JAK1; GPATCH2; TMEM241","DNA-templated DNA replication; DNA replication; RNA modification; DNA conformation change; methylation; tRNA metabolic process; DNA repair; RNA processing; DNA metabolic process; tRNA processing; double-strand break repair; RNA methylation; intraciliary transport; chromosome organization; monocarboxylic acid catabolic process; DNA recombination; tRNA modification; DNA biosynthetic process; membrane lipid metabolic process; macromolecule methylation; protein localization to cilium; cellular lipid metabolic process; cellular lipid catabolic process; non-motile cilium assembly; microtubule-based transport; transport along microtubule; ribonucleoprotein complex biogenesis; cytoskeleton-dependent intracellular transport; lipid metabolic process; negative regulation of DNA metabolic process","0.0182979528709936; 0.123032106594728; 0.139176840227505; 0.139176840227505; 0.364581838505152; 0.395895791174585; 0.466990557129586; 0.466990557129586; 0.466990557129586; 0.466990557129586; 0.466990557129586; 0.466990557129586; 0.466990557129586; 0.537776742713817; 0.578199061506421; 0.578199061506421; 0.578199061506421; 0.578199061506421; 0.578199061506421; 0.578199061506421; 0.578199061506421; 0.578199061506421; 0.643049174221658; 0.713524944867699; 0.713524944867699; 0.747483379700488; 0.880984061382217; 0.999999955015746; 0.999999955015746; 0.999999955015746"
"magenta","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK.int; herv_HERVK11.int; herv_HERVK3.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVK13.int; herv_HERV3.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.226; 0.208; 0.202; 0.145; 0.118; 0.116; 0.11; 0.11; 0.109; 0.09; 0.076; 0.042; -0.034; -0.005",61,"UBR3; BIRC6; PPP1R12A; WDFY3; C2CD5; MAP4K3; RASA2; BRAF; TNKS; EXOC6; TNPO1; PHF14; LYST; MON2; SH3GL3; SETD5; MYO6; SLC41A2; YTHDC2; ASXL3; REPS1; PAN3; TENT2; XRN1; ARAP2; UVRAG; ODF2L; MAP4K5; LRRFIP2; RFX7","centrosome cycle; microtubule organizing center organization; cytokinesis; regulation of DNA-templated transcription elongation; establishment of localization in cell; microtubule cytoskeleton organization; cell cycle process; mitotic cytokinesis; nuclear-transcribed mRNA catabolic process; negative regulation of organelle organization; negative regulation of DNA metabolic process; DNA-templated transcription elongation; determination of left/right symmetry; left/right pattern formation; Golgi vesicle transport; regulation of organelle organization; specification of symmetry; determination of bilateral symmetry; cytoskeleton-dependent cytokinesis; response to purine-containing compound; regulation of chromosome organization; cell division; pattern specification process; regulation of protein-containing complex disassembly; protein-containing complex disassembly; negative regulation of cell cycle; intracellular protein transport; Wnt signaling pathway; nucleocytoplasmic transport; nuclear transport","0.53360219602666; 0.53360219602666; 0.53360219602666; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855; 0.630548171874855"
"pink","herv_HERVK9.int; herv_HERVL.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERV3.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.203; 0.194; 0.177; 0.144; 0.114; 0.109; 0.104; 0.101; 0.093; 0.091; 0.079; 0.047; -0.006; -0.002",74,"GDAP1; SSBP2; SOS1; FUT9; HIBCH; ENSG00000293321; PPM1E; DUBR; DENND5B; ATP2C1; NR3C1; FAM95B1; UBR2; CHPT1; MIR2052HG; DPH6-DT; ENSG00000291293; SLC5A4-AS1; ENSG00000294497; TMEM135; ENSG00000297079; ENSG00000295954; ATF6; KANSL1L; TNFSF13B; SEM1; ENSG00000224905; KMT2E-AS1; ENSG00000269237; TTC28-AS1","regulation of glucose metabolic process; hexose metabolic process; monosaccharide metabolic process; small molecule catabolic process; organelle fission; regulation of carbohydrate metabolic process; immune response-activating cell surface receptor signaling pathway; immune response-regulating cell surface receptor signaling pathway; glucose metabolic process; carbohydrate biosynthetic process; mononuclear cell differentiation; meiotic nuclear division; meiotic cell cycle process; DNA recombination; regulation of small molecule metabolic process; leukocyte homeostasis; positive regulation of cellular catabolic process; positive regulation of immune response; regulation of carbohydrate biosynthetic process; meiotic cell cycle; eye development; visual system development; multicellular organismal reproductive process; sensory system development; gluconeogenesis; female gamete generation; hexose biosynthetic process; hexose catabolic process; monosaccharide biosynthetic process; leukocyte differentiation","0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475; 0.536955419480475"
"black","herv_HERVL.int; herv_HERVK9.int; herv_HERVK.int; herv_HERVK22.int; herv_HERVK13.int; herv_HERV17.int; herv_HERVK14.int; AD_binary; herv_HERVK3.int; herv_HERVH.int; herv_HERVE.int; herv_HERVK11.int; herv_HERV3.int; herv_HERV.Fc1.int","-0.128; -0.102; -0.079; -0.077; -0.071; -0.064; -0.058; 0.055; -0.052; -0.036; -0.033; -0.02; 0.014; -0.003",130,"MT-CO3; MT-CO1; MT-CO2; MT-ND4; MT-RNR2; MT-ND3; MT-ND1; MT-CYB; MT-ND2; MT-ATP6; MT-RNR1; MT-ND5; PHYHIP; MT-ND4L; GRIN1; LY6H; PSD; DNAJB2; CAMK2A; PDZD4; CHD5; ZBTB7A; ADGRB2; MAPK11; PPFIA3; KIFC2; ACAP3; DPP7; NPTXR; MT-ATP8","cellular response to abiotic stimulus; cellular response to environmental stimulus; peripheral nervous system development; neurotransmitter transport; signal release; response to radiation; neurotransmitter secretion; signal release from synapse; response to light stimulus; circadian rhythm; response to nitrogen compound; regulation of synaptic plasticity; regulation of Notch signaling pathway; regulation of circadian rhythm; regulation of neurotransmitter transport; secretion by cell; export from cell; synaptic vesicle exocytosis; Notch signaling pathway; response to abiotic stimulus; secretion; synaptic signaling; modulation of chemical synaptic transmission; regulation of trans-synaptic signaling; regulation of insulin secretion; exocytosis; regulation of peptide secretion; regulation of neurotransmitter secretion; regulation of peptide transport; regulation of peptide hormone secretion","0.116932045626314; 0.116932045626314; 0.21936738653742; 0.21936738653742; 0.21936738653742; 0.285363128259215; 0.285363128259215; 0.285363128259215; 0.296812117204245; 0.296812117204245; 0.38140385970772; 0.38140385970772; 0.394232145734684; 0.409252798060484; 0.44416873914147; 0.44416873914147; 0.44416873914147; 0.496331968685891; 0.526335224830977; 0.648220964364548; 0.672778269119594; 0.672778269119594; 0.672778269119594; 0.672778269119594; 0.713359355567493; 0.713359355567493; 0.713359355567493; 0.713359355567493; 0.713359355567493; 0.713359355567493"
"red","herv_HERVH.int; herv_HERV3.int; herv_HERVL.int; herv_HERVK.int; herv_HERVK13.int; herv_HERVE.int; herv_HERV17.int; AD_binary; herv_HERVK14.int; herv_HERVK22.int; herv_HERVK9.int; herv_HERVK11.int; herv_HERVK3.int; herv_HERV.Fc1.int","0.095; 0.072; -0.062; -0.053; -0.047; -0.039; -0.031; 0.031; -0.027; -0.024; -0.022; -0.013; 0.007; -0.004",153,"FAIM2; NRGN; THY1; NCDN; CLU; EEF1A2; CKB; HSP90AB1; ENO2; SYN1; PPP2R1A; TSPYL1; SNCB; PRKAR1B; SLC17A7; YPEL3; FKBP8; DNM1; JUND; CEND1; BSG; CTXN1; AP2M1; TUBB4A; TMEM59L; SELENOW; NPTX1; TPI1; PEA15; MAP1B","regulation of localization; synaptic vesicle cycle; vesicle-mediated transport in synapse; regulation of transport; synaptic vesicle recycling; negative regulation of programmed cell death; macroautophagy; regulation of vesicle-mediated transport; cell-cell signaling; vesicle-mediated transport; negative regulation of apoptotic process; regulation of macroautophagy; receptor-mediated endocytosis; autophagy; process utilizing autophagic mechanism; synaptic signaling; vesicle organization; nucleoside diphosphate metabolic process; protein-containing complex organization; biological process involved in interaction with host; negative regulation of apoptotic signaling pathway; regulation of autophagy; regulated exocytosis; chemical synaptic transmission; anterograde trans-synaptic signaling; endomembrane system organization; response to endoplasmic reticulum stress; response to stress; regulation of cellular catabolic process; synaptic vesicle endocytosis","0.155109741429787; 0.159099166951151; 0.220133710816345; 0.241423082895044; 0.241423082895044; 0.241423082895044; 0.262106843677713; 0.268909113362817; 0.268909113362817; 0.268909113362817; 0.271011231635889; 0.271011231635889; 0.271011231635889; 0.271011231635889; 0.271011231635889; 0.271011231635889; 0.271011231635889; 0.271011231635889; 0.271011231635889; 0.273425098957951; 0.340155289062817; 0.340155289062817; 0.340155289062817; 0.340155289062817; 0.340155289062817; 0.340155289062817; 0.340155289062817; 0.340155289062817; 0.340155289062817; 0.340155289062817"
