"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048791","calcium ion-regulated exocytosis of neurotransmitter","3/400","13/7213",0.230769230769231,4.16134615384615,2.76417885204266,0.0319407299876881,0.406291343176724,0.386996845464863,"RIMS2/SYT1/UNC13C",3
"GO:0061577","calcium ion transmembrane transport via high voltage-gated calcium channel","3/400","13/7213",0.230769230769231,4.16134615384615,2.76417885204266,0.0319407299876881,0.406291343176724,0.386996845464863,"NOS1AP/PDE4D/CACNA1C",3
"GO:0086011","membrane repolarization during action potential","3/400","13/7213",0.230769230769231,4.16134615384615,2.76417885204266,0.0319407299876881,0.406291343176724,0.386996845464863,"NOS1AP/KCNJ3/DLG1",3
"GO:0090257","regulation of muscle system process","10/400","93/7213",0.10752688172043,1.93897849462366,2.2082375137041,0.032547374870116,0.410699804447265,0.391195951928008,"PPP1R12B/RYR2/SLC8A1/DLG1/PDE4D/JARID2/PRKG1/CACNA1C/AKAP6/DMD",10
"GO:0007411","axon guidance","13/400","133/7213",0.0977443609022556,1.76257518796992,2.15070340319013,0.0325530417630475,0.410699804447265,0.391195951928008,"TNR/NRXN1/KALRN/UNC5C/TRIO/EFNA5/CRPPA/EXT1/CNTN1/NELL2/NRXN3/DSCAM/OPHN1",13
"GO:0097485","neuron projection guidance","13/400","134/7213",0.0970149253731343,1.74942164179104,2.12168708963291,0.0343142513807865,0.431159963487849,0.410684472024218,"TNR/NRXN1/KALRN/UNC5C/TRIO/EFNA5/CRPPA/EXT1/CNTN1/NELL2/NRXN3/DSCAM/OPHN1",13
"GO:0060078","regulation of postsynaptic membrane potential","10/400","94/7213",0.106382978723404,1.91835106382979,2.17145995123225,0.0347010108794793,0.434254350722553,0.413631908927781,"NRXN1/NLGN1/GABRB1/GRIA1/GRIK2/SYNE1/RIMS2/GRID1/GRM5/GRIN2A",10
"GO:0060562","epithelial tube morphogenesis","12/400","121/7213",0.0991735537190083,1.78834710743802,2.11891951301793,0.0354807412794353,0.43599165213323,0.415286707083943,"PHACTR4/HS2ST1/PBX1/RYR2/SETD2/DLG1/AHI1/COBL/CSMD1/EXT1/PRICKLE1/CEP290",12
"GO:0010765","positive regulation of sodium ion transport","4/400","23/7213",0.173913043478261,3.13608695652174,2.48603398409759,0.0356861494628623,0.43599165213323,0.415286707083943,"FGF12/ANK3/CNTN1/DMD",4
"GO:0043268","positive regulation of potassium ion transport","4/400","23/7213",0.173913043478261,3.13608695652174,2.48603398409759,0.0356861494628623,0.43599165213323,0.415286707083943,"NOS1AP/RGS7/DLG1/AKAP6",4
"GO:0050879","multicellular organismal movement","4/400","23/7213",0.173913043478261,3.13608695652174,2.48603398409759,0.0356861494628623,0.43599165213323,0.415286707083943,"GIGYF2/VTI1A/ATP8A2/DMD",4
