"module","trait","cor","n_gene","hub_gene","GO","GO_padj"
"yellow","herv_HERVH.int; herv_HERVK9.int; herv_HERVL.int; herv_HERV3.int; herv_HERVK3.int; herv_HERVK11.int; herv_HERV17.int; herv_HERVK.int; AD_binary; herv_HERVK14.int; herv_HERVK22.int; herv_HERVK13.int; herv_HERV.Fc1.int; herv_HERVE.int","0.104; 0.093; 0.079; 0.068; 0.067; 0.066; 0.06; 0.053; 0.045; 0.043; 0.033; 0.033; -0.013; -0.008",179,"MT2A; FTL; MT1E; HSPA1A; SLC7A11; MT1G; CRYAB; HSP90AA1; GPRC5B; HSPB1; MT1M; EPHX1; MT1F; NFAT5; ATP2C1; DNAJB1; ENO1; TKT; CPEB4; HSPH1; PALLD; SLC3A2; FUT9; ATP5MK; BCAN; RAMP1; LRP1; NDUFB4; PTGES3; SQSTM1","protein folding chaperone complex; supramolecular fiber; supramolecular polymer; supramolecular complex; myofibril; cell surface; contractile muscle fiber; Z disc; sarcomere; I band; ficolin-1-rich granule lumen; polymeric cytoskeletal fiber; inclusion body; ficolin-1-rich granule; COP9 signalosome; aggresome; cell body; axon cytoplasm; melanosome; pigment granule; neuron projection cytoplasm; actin filament; proton-transporting ATP synthase complex; neuronal cell body; perinuclear region of cytoplasm; respiratory chain complex; distal axon; microtubule; dendritic spine; somatodendritic compartment","2.20265060408209e-06; 0.00169836029247134; 0.00169836029247134; 0.0148520195471365; 0.0235834015026622; 0.0235834015026622; 0.0235834015026622; 0.0235834015026622; 0.0235834015026622; 0.0308735952064174; 0.0420148020766243; 0.0422240983325469; 0.0431899837673464; 0.0458488590929214; 0.0458488590929214; 0.0458488590929214; 0.0479435521835905; 0.054490475369473; 0.0555987194505481; 0.0555987194505481; 0.0555987194505481; 0.0573738333201443; 0.0685530710844166; 0.0812499287895668; 0.0838966200032739; 0.101017433132477; 0.101017433132477; 0.128967776923028; 0.132125945834947; 0.132125945834947"
"blue","herv_HERVK9.int; herv_HERVL.int; herv_HERV3.int; herv_HERVK.int; herv_HERVH.int; herv_HERVK3.int; herv_HERVK14.int; herv_HERV17.int; herv_HERVK13.int; herv_HERVK22.int; herv_HERVK11.int; AD_binary; herv_HERVE.int; herv_HERV.Fc1.int","0.236; 0.162; 0.159; 0.157; 0.137; 0.096; 0.094; 0.087; 0.079; 0.069; 0.06; -0.041; 0.015; -0.007",160,"LSAMP; GPC5; GPM6A; SOX5; ERBB4; MIR99AHG; ADGRV1; NPAS3; ZBTB20; NKAIN3; TNIK; GABRB1; PCDH9; ADGRB3; NRXN1; ADGRL3; LRP1B; CTNND2; MAPK10; CACNB2; DTNA; TRPS1; AHCYL2; NRG3; ENSG00000271860; DOCK4; FBXL7; CADM2; SLC1A2; NFIA","plasma membrane region; postsynapse; synaptic membrane; basal plasma membrane; collagen-containing extracellular matrix; basal part of cell; external encapsulating structure; extracellular matrix; postsynaptic membrane; sarcolemma; glial cell projection; axon; actin-based cell projection; postsynaptic specialization; Z disc; postsynaptic density; anchoring junction; cell-cell junction; I band; asymmetric synapse; contractile muscle fiber; stress fiber; contractile actin filament bundle; neuron to neuron synapse; sarcomere; actin filament bundle; actomyosin; actin cytoskeleton; Golgi lumen; lysosomal lumen","2.42797941262406e-07; 0.000237066908826774; 0.00169609767439752; 0.00169609767439752; 0.00170560454328859; 0.00195654794993625; 0.00195654794993625; 0.00195654794993625; 0.00519175803408266; 0.00519175803408266; 0.00519175803408266; 0.00519175803408266; 0.00519175803408266; 0.00519175803408266; 0.00559383402976331; 0.00610599071012952; 0.00652130704868603; 0.00694065563165671; 0.00694065563165671; 0.00710594661602028; 0.0125871349025057; 0.0133697362988937; 0.0133697362988937; 0.0139502521898791; 0.0150037198740294; 0.0225035873064177; 0.0225035873064177; 0.0254871500101146; 0.0278714692226869; 0.0278714692226869"
"brown","AD_binary; herv_HERVH.int; herv_HERVK9.int; herv_HERVL.int; herv_HERV3.int; herv_HERV17.int; herv_HERVK3.int; herv_HERVK11.int; herv_HERVK13.int; herv_HERVK.int; herv_HERVK14.int; herv_HERVE.int; herv_HERVK22.int; herv_HERV.Fc1.int","-0.101; 0.099; 0.08; 0.075; 0.069; 0.062; 0.059; 0.055; 0.039; 0.038; 0.036; -0.019; 0.019; -0.007",214,"ATP1B2; APOE; ITM2C; FTH1; AQP4; TUBB2B; AGT; ENSG00000303855; GAPDH; ENSG00000255580; VIM; TSPAN7; LINC00513; FAM171B; CD63; SRP14; ACTG1; CALR; TMBIM6; SLC6A1-AS1; HLA-A; SCRG1; IL6ST; MGST1; EDNRB; PRDX1; TUBB2A; CLDN10; SLITRK2; VEGFA","respiratory chain complex; cytosolic large ribosomal subunit; cytochrome complex; transmembrane transporter complex; transporter complex; ribosomal subunit; cytosolic ribosome; large ribosomal subunit; mitochondrial envelope; mitochondrial membrane; ribosome; oxidoreductase complex; membrane protein complex; mitochondrial inner membrane; organelle envelope; organelle inner membrane; ribonucleoprotein complex; focal adhesion; cell-substrate junction; proton-transporting two-sector ATPase complex; melanosome; pigment granule; ATPase dependent transmembrane transport complex; azurophil granule membrane; blood microparticle; external side of plasma membrane; myelin sheath; presynaptic cytosol; anchoring junction; phagocytic vesicle","3.6786443241895e-11; 1.66720925423187e-09; 1.66720925423187e-09; 1.66720925423187e-09; 1.66720925423187e-09; 5.17123649518682e-09; 1.17914748024558e-08; 7.63950129051585e-08; 5.42005978619809e-07; 5.42005978619809e-07; 5.42005978619809e-07; 1.70998741634571e-06; 4.49800549080149e-06; 1.53517781209969e-05; 2.13506680546744e-05; 9.07696037841111e-05; 0.000146062247476552; 0.000202148908132443; 0.000227167528878465; 0.000253342127638939; 0.00120645306589695; 0.00120645306589695; 0.00131394249102046; 0.00163075512331094; 0.00163075512331094; 0.00163075512331094; 0.00276825581894717; 0.00326235567689643; 0.0042912141594401; 0.00465645868803621"
"turquoise","herv_HERVK9.int; herv_HERVL.int; herv_HERVK.int; herv_HERV3.int; herv_HERVH.int; herv_HERVK14.int; herv_HERV17.int; herv_HERVK3.int; herv_HERVK13.int; herv_HERVK22.int; AD_binary; herv_HERVK11.int; herv_HERVE.int; herv_HERV.Fc1.int","0.28; 0.215; 0.205; 0.177; 0.165; 0.13; 0.123; 0.116; 0.1; 0.098; -0.084; 0.065; 0.016; -0.005",2012,"PTPRZ1; MIR9-2HG; APC; PREX2; LINC01473; ATP13A4; MYO6; LIFR; CSGALNACT1; SLCO1C1; REPS1; SEPTIN7; AKT3; ITPR2; TALAM1; MAP3K5; SOX6; SLC4A4; MGAT4C; STXBP5; N4BP2L2; PON2; CRB1; SPARCL1; ABI1; FAM184A; STK33; BMP2K; LRIG1; PTK2","axoneme; ciliary plasm; cilium; centriole; motile cilium; ciliary basal body; centrosome; nuclear speck; microtubule organizing center; plasma membrane bounded cell projection cytoplasm; vesicle tethering complex; nuclear protein-containing complex; cis-Golgi network; U2-type spliceosomal complex; intracellular protein-containing complex; centriolar satellite; cytoplasmic region; spliceosomal complex; site of DNA damage; chromosome, telomeric region; dynein complex; endoplasmic reticulum exit site; mediator complex; pericentriolar material; chromosomal region; male germ cell nucleus; Sm-like protein family complex; ciliary transition zone; 9+2 motile cilium; transferase complex","0.00404759907499896; 0.00404759907499896; 0.00404759907499896; 0.00442811258897818; 0.0174191054876895; 0.031453365764311; 0.0794910042877759; 0.0829897467708345; 0.0987331712993347; 0.121228734426091; 0.121228734426091; 0.121228734426091; 0.121228734426091; 0.124096355336801; 0.124096355336801; 0.130385084051541; 0.18456757006754; 0.18456757006754; 0.18456757006754; 0.18456757006754; 0.216141530676318; 0.216141530676318; 0.216141530676318; 0.216141530676318; 0.339186210174227; 0.410555746666029; 0.424184158366028; 0.42839580311767; 0.500175229800669; 0.500175229800669"
"red","herv_HERVK.int; herv_HERVK9.int; herv_HERVL.int; herv_HERVK14.int; herv_HERVH.int; herv_HERVK22.int; herv_HERV17.int; herv_HERVE.int; AD_binary; herv_HERVK13.int; herv_HERVK3.int; herv_HERVK11.int; herv_HERV.Fc1.int; herv_HERV3.int","0.089; 0.078; 0.074; 0.057; 0.046; 0.043; 0.024; 0.023; 0.016; 0.015; 0.015; 0.011; -0.006; -0.001",70,"LINC00609; ENSG00000287704; DCLK1; DPP10; ENSG00000287939; SLC38A1; TNC; L3MBTL4; VCAN; SNED1; KAZN; WDR49; LINC01088; GPC6; GALNT15; PLEKHA5; SERPINI2; NFASC; SLC24A4; ADAMTS9-AS2; MAN1C1; DPYSL3; LINC01094; ANGPT1; MARCHF3; AQP1; AQP4-AS1; BNC2; PLXDC2; MYRIP","plasma membrane region; glutamatergic synapse; photoreceptor outer segment; neuron to neuron synapse; main axon; cell body; photoreceptor cell cilium; synaptic membrane; postsynapse; apical plasma membrane; 9+0 non-motile cilium; protein complex involved in cell adhesion; voltage-gated potassium channel complex; hippocampal mossy fiber to CA3 synapse; postsynaptic specialization; axon; potassium channel complex; non-motile cilium; apical part of cell; perikaryon; dendritic spine; neuron spine; postsynaptic density; cation channel complex; postsynaptic specialization membrane; asymmetric synapse; neuronal cell body; intermediate filament cytoskeleton; postsynaptic membrane; external encapsulating structure","0.00705961535684347; 0.00705961535684347; 0.0134528921801826; 0.0167131437935824; 0.0167131437935824; 0.0168164545140099; 0.0168164545140099; 0.0168164545140099; 0.0168164545140099; 0.0168164545140099; 0.0168164545140099; 0.0168164545140099; 0.0184674280187557; 0.0200989047350872; 0.0200989047350872; 0.0224878244719882; 0.0257489381376273; 0.025918386996334; 0.0282260739121869; 0.0315261627328789; 0.0325244250616736; 0.0326601659045596; 0.0356180189210815; 0.0369156569375427; 0.0377728271640656; 0.0381266967637963; 0.0427602226224596; 0.0462060664994379; 0.0672708654078381; 0.0703011492069745"
"green","herv_HERVK9.int; herv_HERVK.int; herv_HERVL.int; herv_HERV3.int; herv_HERVK14.int; herv_HERVH.int; herv_HERVK3.int; herv_HERV17.int; herv_HERVK22.int; herv_HERVK13.int; herv_HERVK11.int; AD_binary; herv_HERVE.int; herv_HERV.Fc1.int","0.201; 0.156; 0.156; 0.143; 0.118; 0.117; 0.083; 0.083; 0.08; 0.072; 0.047; 0.015; 0.007; -0.005",130,"TPST1; ENTREP1; ARHGEF3; BCL6; SLC44A3-AS1; CD44; NAV2; CACHD1; ETV6; TRIO; ERBIN; COLEC12; ZFYVE28; NCOA1; MAPRE2; RFX4; STK3; IGFBP7; SLC9A9; TENM4; MFHAS1; OSMR; RGL1; NAV1; HMBOX1; DCLK2; CPNE8; DENND4A; YBX3; OSMR-DT","external encapsulating structure; extracellular matrix; collagen-containing extracellular matrix; cluster of actin-based cell projections; brush border; membrane raft; membrane microdomain; brush border membrane; collagen trimer; platelet alpha granule lumen; cytoplasmic stress granule; early endosome membrane; late endosome membrane; cytoplasmic ribonucleoprotein granule; replication fork; microtubule plus-end; ribonucleoprotein granule; Golgi membrane; apical plasma membrane; microtubule end; photoreceptor inner segment; P-body; early endosome; platelet alpha granule; basolateral plasma membrane; basement membrane; neuronal cell body; apical part of cell; basal plasma membrane; cell-substrate junction","0.106616757295193; 0.106616757295193; 0.249435827869708; 0.249435827869708; 0.249435827869708; 0.740259557349858; 0.740259557349858; 0.740259557349858; 0.740259557349858; 0.740259557349858; 0.740259557349858; 0.740259557349858; 0.740259557349858; 0.740259557349858; 0.746665029116977; 0.746665029116977; 0.746665029116977; 0.754579251023235; 0.754579251023235; 0.861429666925782; 0.861429666925782; 0.861429666925782; 0.861429666925782; 0.861429666925782; 0.861429666925782; 0.861429666925782; 0.861429666925782; 0.861429666925782; 0.861429666925782; 0.861429666925782"
