"module","trait","cor","n_gene","hub_gene","GO","GO_padj"
"blue","herv_HERVK9.int; herv_HERVL.int; herv_HERVH.int; herv_HERV17.int; herv_HERVK.int; herv_HERV3.int; herv_HERVK14.int; herv_HERVK22.int; herv_HERVK3.int; herv_HERVK13.int; AD_binary; herv_HERVK11.int; herv_HERVE.int; herv_HERV.Fc1.int","-0.105; -0.101; -0.094; -0.082; -0.069; -0.054; -0.042; -0.029; -0.026; -0.023; -0.019; 0.012; -0.01; NA",185,"MT-RNR2; MT-CO2; MT-CO3; MT-ND3; MT-ND4; MT-CO1; MT-CYB; MT-ATP6; MT-ND2; MT-ND1; MT-RNR1; SYT1; CADM2; KCNIP4; RBFOX1; LSAMP; GRIN1; NRXN1; CNTNAP2; PTPRD; CSMD1; NRXN3; MT-ND5; NRG3; OPCML; ANKS1B; NALF1; PLCB1; MT-ND4L; NRGN","ribosomal subunit; cytosolic ribosome; ribosome; cytosolic large ribosomal subunit; large ribosomal subunit; transmembrane transporter complex; transporter complex; monoatomic ion channel complex; cation channel complex; ribonucleoprotein complex; neuron to neuron synapse; asymmetric synapse; postsynaptic density; axon; neuron projection; cytosolic small ribosomal subunit; postsynaptic specialization; proton-transporting two-sector ATPase complex; small ribosomal subunit; voltage-gated potassium channel complex; respiratory chain complex; presynapse; glutamatergic synapse; synaptic membrane; presynaptic membrane; postsynapse; potassium channel complex; excitatory synapse; distal axon; membrane protein complex","2.51321408132952e-14; 6.93107690689465e-14; 3.31121993025922e-13; 1.13595606835781e-11; 1.18572871002651e-10; 5.68151782639713e-10; 5.68151782639713e-10; 5.46404864547358e-08; 5.92283685921854e-07; 9.66423921305748e-06; 1.0981804656376e-05; 1.34081464877898e-05; 2.72669812724253e-05; 2.75146222601971e-05; 2.7679948478899e-05; 4.00397145155594e-05; 4.29586890662639e-05; 4.29586890662639e-05; 0.000132603202450857; 0.000248518916017195; 0.000248518916017195; 0.000248518916017195; 0.000288849697400334; 0.000288849697400334; 0.000288849697400334; 0.000288849697400334; 0.000288849697400334; 0.000288849697400334; 0.000769195978427423; 0.00111448972488066"
"turquoise","herv_HERVK9.int; herv_HERVL.int; herv_HERV17.int; AD_binary; herv_HERVK.int; herv_HERV3.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK3.int; herv_HERVK13.int; herv_HERVE.int; herv_HERVH.int; herv_HERVK11.int; herv_HERV.Fc1.int","0.145; 0.14; 0.121; 0.109; 0.094; 0.088; 0.067; 0.059; 0.043; 0.04; 0.031; 0.02; -0.017; NA",503,"ABR; TBC1D22A; MALAT1; RAPGEF1; INPP5D; SNX29; PREX1; RIN3; TTC7A; TNS3; CMIP; ZNF710; PLCG2; CUX1; RYR1; DOCK2; GNG7; LYN; RNF213; PACSIN2; RAB31; KCNQ1; CTBP2; WDFY4; ALOX5; ARRB1; MTHFD1L; FGD2; MYO1F; TRAPPC9","early endosome; membrane raft; membrane microdomain; early endosome membrane; endosome; SWI/SNF superfamily-type complex; cell division site; calcium channel complex; chromatin; heterotrimeric G-protein complex; Cul4A-RING E3 ubiquitin ligase complex; sarcoplasmic reticulum membrane; sarcoplasmic reticulum; Cul4-RING E3 ubiquitin ligase complex; sarcoplasm; nuclear matrix; cleavage furrow; condensed nuclear chromosome; myosin complex; somatodendritic compartment; cytoplasmic side of plasma membrane; dendritic shaft; GTPase complex; recycling endosome; phagocytic cup; perinuclear region of cytoplasm; fibrillar center; microvillus; dendrite; ATPase complex","0.267275626161307; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017; 0.999530220673017"
"brown","herv_HERVK9.int; herv_HERVL.int; herv_HERVH.int; herv_HERV17.int; herv_HERVK.int; herv_HERV3.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK3.int; herv_HERVE.int; herv_HERVK13.int; herv_HERVK11.int; AD_binary; herv_HERV.Fc1.int","0.143; 0.133; 0.111; 0.109; 0.105; 0.072; 0.045; 0.037; 0.037; 0.036; 0.028; 0.002; 0.001; NA",392,"FRMD4A; CSGALNACT1; ELMO1; ARHGAP22; LRMDA; SFMBT2; ABCC4; LDLRAD4; ANKRD44; DOCK4; ADAM28; SORL1; TBXAS1; ARHGAP24; SRGAP2; DOCK8; MEF2A; HS3ST4; ENSG00000287684; MAML3; EPB41L2; ST6GALNAC3; PALD1; ATP8B4; ZFHX3; IGSF21; GALNT2; FOXN3; PLXDC2; FAM149A","side of membrane; cell surface; external side of plasma membrane; extrinsic component of plasma membrane; extrinsic component of membrane; nuclear speck; lamellipodium; cytoplasmic side of membrane; platelet alpha granule lumen; guanyl-nucleotide exchange factor complex; nuclear body; cell-cell junction; cell-cell contact zone; cytoplasmic side of plasma membrane; intercalated disc; dendritic spine; neuron spine; postsynaptic membrane; aggresome; stereocilium; stereocilium bundle; cell body; neuronal cell body; sarcoplasm; endocytic vesicle; platelet alpha granule; extrinsic component of cytoplasmic side of plasma membrane; mitotic spindle pole; actin-based cell projection; endoplasmic reticulum-Golgi intermediate compartment membrane","0.232362255371922; 0.292608385590872; 0.390036069363958; 0.943663211944078; 0.974390028230109; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068; 0.999638261446068"
"green","herv_HERVL.int; herv_HERVK9.int; herv_HERV17.int; herv_HERVK22.int; herv_HERV3.int; herv_HERVK14.int; AD_binary; herv_HERVK.int; herv_HERVH.int; herv_HERVK3.int; herv_HERVK13.int; herv_HERVK11.int; herv_HERVE.int; herv_HERV.Fc1.int","0.127; 0.116; 0.113; 0.078; 0.067; 0.064; 0.062; 0.053; 0.053; 0.039; 0.035; -0.022; 0.009; NA",232,"SH3RF3; CHST11; PTPRE; ETV6; TBC1D14; ARHGAP26; DENND3; LIMK2; GRB2; BACH1; NCK2; PTPN2; RBM47; RUNX1; ADGRE2; IL4R; ZFAND3; PIK3AP1; TMEM163; ATP11A; GOLGA4; HIVEP3; SLC11A1; HCK; RNF149; PPARD; ACER3; SPATA6; ACSL1; IL17RA","preribosome; secretory granule membrane; ficolin-1-rich granule membrane; secretory vesicle; secretory granule; specific granule membrane; specific granule; small-subunit processome; organelle envelope lumen; mitochondrial intermembrane space; stress fiber; contractile actin filament bundle; tertiary granule membrane; actin filament bundle; actin cytoskeleton; anchoring junction; actomyosin; tertiary granule; ficolin-1-rich granule; platelet alpha granule lumen; focal adhesion; cilium; cell-substrate junction; Golgi cisterna membrane; Golgi membrane; mitochondrial envelope; external side of plasma membrane; synaptic vesicle membrane; exocytic vesicle membrane; nucleolus","0.163184712165672; 0.214232692815565; 0.214232692815565; 0.289617122951687; 0.289617122951687; 0.301645546317787; 0.301645546317787; 0.301645546317787; 0.537135015619545; 0.82516356325074; 0.82516356325074; 0.82516356325074; 0.82516356325074; 0.82516356325074; 0.892215412117671; 0.892215412117671; 0.892215412117671; 0.892215412117671; 0.892215412117671; 0.892215412117671; 0.892215412117671; 0.892215412117671; 0.941777085585083; 0.954676875722059; 0.954676875722059; 0.954676875722059; 0.954676875722059; 0.954676875722059; 0.954676875722059; 0.954676875722059"
"red","herv_HERVK9.int; herv_HERVL.int; herv_HERV17.int; herv_HERVH.int; herv_HERVK.int; herv_HERVK22.int; herv_HERV3.int; herv_HERVK14.int; herv_HERVE.int; herv_HERVK3.int; AD_binary; herv_HERVK11.int; herv_HERVK13.int; herv_HERV.Fc1.int","0.12; 0.098; 0.083; 0.074; 0.069; 0.052; 0.048; 0.028; 0.021; 0.02; -0.019; -0.014; 0.004; NA",69,"RASGEF1C; ST6GAL1; CYFIP1; MCF2L; ENSG00000302619; TLN2; LRRK1; CACNA1D; APPL2; ENSG00000250604; TENM4; RTTN; CAPZB; NAV3; LINC02232; ZFPM2-AS1; PTPRB-AS1; GNB4; B3GNT5; ITGAX; SPNS2; STRBP; ENSG00000259124; MRC2; DSCAM; C12orf75; ATF7IP2; HTRA1; AP1B1; EVL","lamellipodium; cell leading edge; actin cytoskeleton; extrinsic component of membrane; Golgi cisterna; T-tubule; presynapse; extrinsic component of cytoplasmic side of plasma membrane; excitatory synapse; plasma membrane signaling receptor complex; side of membrane; Golgi stack; sarcomere; myofibril; contractile muscle fiber; cytoplasmic side of plasma membrane; secretory vesicle; external encapsulating structure; extracellular matrix; plasma membrane protein complex; axon terminus; vesicle lumen; secretory granule lumen; cytoplasmic vesicle lumen; tertiary granule; actin-based cell projection; Z disc; Golgi cisterna membrane; late endosome membrane; Golgi apparatus subcompartment","0.252549287941923; 0.252549287941923; 0.252549287941923; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573; 0.461032192316573"
"yellow","herv_HERVK9.int; AD_binary; herv_HERVH.int; herv_HERVL.int; herv_HERV17.int; herv_HERVK22.int; herv_HERV3.int; herv_HERVK3.int; herv_HERVK.int; herv_HERVK14.int; herv_HERVK13.int; herv_HERVE.int; herv_HERVK11.int; herv_HERV.Fc1.int","0.135; 0.112; 0.11; 0.104; 0.09; 0.074; 0.067; 0.046; 0.041; 0.04; 0.018; 0.017; -0.006; NA",332,"P4HA1; HSPH1; SKAP2; HSPA1A; ABHD3; CYRIB; DDX5; TAB2; CHORDC1; CPED1; HERC4; TBC1D5; PTGES3; RB1; HSP90AA1; RUBCNL; TGFBR1; ANKRD17; ATP2C1; NIPBL; SNAP23; SHOC1; ZC3HAV1; NEDD4L; MGAT4A; PTPRC; MBNL1; LCP1; PAG1; FCGBP","endocytic vesicle; secretory granule; melanosome; pigment granule; secretory vesicle; phagocytic vesicle; protein folding chaperone complex; vacuole; lytic vacuole; lysosome; endocytic vesicle membrane; endoplasmic reticulum protein-containing complex; endoplasmic reticulum lumen; phagocytic vesicle membrane; cytoplasmic vesicle membrane; perinuclear region of cytoplasm; vesicle membrane; vesicle lumen; secretory granule lumen; cytoplasmic vesicle lumen; endosome; endosome membrane; late endosome; primary lysosome; azurophil granule; multivesicular body; side of membrane; tertiary granule lumen; vacuolar lumen; lumenal side of endoplasmic reticulum membrane","0.00133642552028543; 0.00133642552028543; 0.00133642552028543; 0.00133642552028543; 0.00153439821974731; 0.00153439821974731; 0.00153439821974731; 0.00153439821974731; 0.00255779923622409; 0.00255779923622409; 0.00255779923622409; 0.00268175367219413; 0.00307344706516631; 0.00383715767975903; 0.00558719092840633; 0.00663339807913275; 0.00839671633797194; 0.00942267022477106; 0.00942267022477106; 0.00942267022477106; 0.0221870047691046; 0.0251549671625843; 0.0291447118401569; 0.0292935540974698; 0.0292935540974698; 0.0431709562672835; 0.0468754212449106; 0.0541541479345791; 0.091593061171023; 0.091593061171023"
"black","herv_HERVH.int; herv_HERVK9.int; herv_HERVL.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVK22.int; herv_HERVK.int; herv_HERV3.int; herv_HERVK3.int; herv_HERVK13.int; herv_HERVE.int; herv_HERVK11.int; AD_binary; herv_HERV.Fc1.int","0.129; 0.103; 0.095; 0.083; 0.048; 0.046; 0.045; 0.038; 0.031; 0.014; 0.008; 0.006; -0.004; NA",119,"ENSG00000296425; ADAM7-AS1; FAM177B; TALAM1; HNRNPH1; ENSG00000288853; ABHD15-AS1; ENSG00000299754; ENSG00000309976; C1QC; DLEU7; CD74; SRGAP1; GPR34; ENSG00000296499; ENSG00000274441; FRMD4A-AS2; ENSG00000307379; ENSG00000295974; FRG1HP.1; ENSG00000228655; RASA1; LINC01410; DCAF6; RAB11A; LINC00513; HLA-DPA1; CELF2-AS1; ITM2B; ENTPD1-AS1","ribosomal subunit; cytosolic ribosome; ribosome; MHC protein complex; cytosolic large ribosomal subunit; lumenal side of endoplasmic reticulum membrane; focal adhesion; cell-substrate junction; large ribosomal subunit; endocytic vesicle membrane; lumenal side of membrane; endocytic vesicle; ribonucleoprotein complex; secondary lysosome; cytosolic small ribosomal subunit; ER to Golgi transport vesicle membrane; phagocytic vesicle; small ribosomal subunit; cell surface; COPII-coated ER to Golgi transport vesicle; multivesicular body; clathrin-coated endocytic vesicle membrane; secretory granule membrane; autolysosome; clathrin-coated endocytic vesicle; trans-Golgi network membrane; anchoring junction; vesicle membrane; coated vesicle membrane; external side of plasma membrane","8.69623404553363e-06; 9.14047589255176e-06; 0.000121386017342554; 0.000357631721235883; 0.00088556600939283; 0.00106606315892195; 0.00108646106437015; 0.00115076445712509; 0.00117860137524301; 0.00137979047832937; 0.00137979047832937; 0.00143390088697144; 0.00152584018178485; 0.00180277309042719; 0.00207991745550328; 0.00296939457079715; 0.00324396981366736; 0.00386816419632438; 0.00621419103840305; 0.00793427969764722; 0.00975735531452962; 0.00975735531452962; 0.013227699266498; 0.0159540952865726; 0.0238562021640131; 0.0239333384601378; 0.0290577862091893; 0.0311720024778977; 0.0311720024778977; 0.0348986249897085"
"pink","herv_HERVK9.int; herv_HERVL.int; herv_HERV17.int; herv_HERVH.int; herv_HERVK.int; herv_HERV3.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK3.int; herv_HERVK13.int; herv_HERVE.int; herv_HERVK11.int; AD_binary; herv_HERV.Fc1.int","0.121; 0.117; 0.091; 0.089; 0.065; 0.061; 0.05; 0.044; 0.039; 0.026; 0.02; -0.011; -0.003; NA",51,"ANKS1A; TLR2; SUSD6; SP100; SIPA1L2; NUMB; PHC2; SPTLC2; MAP3K8; EPSTI1; SLA; BABAM2; FAM168A; SERPINB9; ITGA9; SUCLG2; SLC1A3; ARMH3; TBC1D16; PSTPIP2; SEC14L1; UBAC2; INTS10; AGO4; ENSG00000294543; WNT5A; IFI44L; SIRPB2; NUDT16-DT; SAMD9L","basal plasma membrane; nuclear ubiquitin ligase complex; basal part of cell; PcG protein complex; glutamatergic synapse; plasma membrane signaling receptor complex; collagen-containing extracellular matrix; integrin complex; external encapsulating structure; extracellular matrix; Golgi lumen; dendritic shaft; cell surface; COP9 signalosome; basolateral plasma membrane; RISC complex; T-tubule; protein complex involved in cell adhesion; RNAi effector complex; inner mitochondrial membrane protein complex; presynaptic active zone; clathrin-coated endocytic vesicle membrane; mitochondrial intermembrane space; sperm flagellum; 9+2 motile cilium; mitochondrial outer membrane; clathrin-coated vesicle; endocytic vesicle membrane; organelle membrane contact site; nuclear protein-containing complex","0.359023675867696; 0.359023675867696; 0.359023675867696; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507; 0.754369827320507"
