"module","trait","cor","n_gene","hub_gene","GO","GO_padj"
"blue","herv_HERV17.int; herv_HERVL.int; herv_HERVK22.int; herv_HERVK9.int; herv_HERVH.int; AD_binary; herv_HERVK14.int; herv_HERVK.int; herv_HERVK3.int; herv_HERV3.int; herv_HERVK11.int; herv_HERVE.int; herv_HERV.Fc1.int; herv_HERVK13.int","0.127; 0.115; 0.096; 0.086; 0.069; -0.061; 0.061; 0.04; 0.035; 0.027; 0.014; -0.014; 0.007; 0.001",760,"DLC1; PRKG1; SLC19A1; EPS8; ATP1A2; SLC6A12; GPC5; SGIP1; PDE7B; HTR1F; PDGFRB; GRM8; SLC38A11; ARHGAP42; CALD1; LAMA2; PTH1R; NR2F2-AS1; COLEC12; GRM3; SLC30A10; NOTCH3; SLC6A1; RORA; ZFHX3; RNF152; PLXDC1; ARHGAP10; PCBP3; TFPI","collagen trimer; external encapsulating structure; extracellular matrix; collagen-containing extracellular matrix; basement membrane; sarcolemma; cation channel complex; actin cytoskeleton; ESC/E(Z) complex; calcium channel complex; receptor complex; protein complex involved in cell adhesion; cell projection membrane; apical part of cell; plasma membrane region; monoatomic ion channel complex; supramolecular polymer; endoplasmic reticulum lumen; neuron projection membrane; apical plasma membrane; podosome; plasma membrane protein complex; GABA-ergic synapse; Golgi lumen; lysosomal lumen; brush border; dendritic shaft; contractile muscle fiber; cell body; leading edge membrane","3.14426428519715e-07; 3.14426428519715e-07; 3.14426428519715e-07; 3.14426428519715e-07; 0.000602917646948447; 0.0103012435702325; 0.178729862913637; 0.178729862913637; 0.186891860983445; 0.206547686524945; 0.223385923611093; 0.223385923611093; 0.223385923611093; 0.223385923611093; 0.223385923611093; 0.223385923611093; 0.223385923611093; 0.223385923611093; 0.223385923611093; 0.243599504157846; 0.256470527895754; 0.292045761513551; 0.292045761513551; 0.364474869225913; 0.364474869225913; 0.387880589234592; 0.387880589234592; 0.435981025527784; 0.453277198201918; 0.459114419550151"
"red","herv_HERV17.int; herv_HERVL.int; herv_HERVK3.int; herv_HERVK9.int; herv_HERVK22.int; herv_HERVH.int; herv_HERV3.int; AD_binary; herv_HERV.Fc1.int; herv_HERVK11.int; herv_HERVE.int; herv_HERVK.int; herv_HERVK14.int; herv_HERVK13.int","0.075; 0.06; 0.057; 0.054; 0.05; 0.041; 0.029; 0.025; -0.018; -0.017; -0.016; -0.008; 0.007; 0.005",72,"RGS5; SPARCL1; RHOB; MGLL; CD81; TNS1; TMBIM6; CYBA; EMP3; TSC22D3; BCAM; COBLL1; EFHD1; EIF4EBP2; JAK1; NDUFB7; TRIB2; DDIT4; COX6B1; CPT1A; MXRA7; JADE1; NDUFA1; RHOQ; TNFRSF1B; ATP5F1D; NDUFA3; WAC; ADAM17; ISG15","respiratory chain complex; organelle inner membrane; mitochondrial inner membrane; mitochondrial envelope; mitochondrial membrane; proton-transporting ATP synthase complex; transmembrane transporter complex; oxidoreductase complex; transporter complex; NADH dehydrogenase complex; respiratory chain complex I; proton-transporting two-sector ATPase complex; mitochondrial intermembrane space; U2-type prespliceosome; prespliceosome; organelle envelope; organelle envelope lumen; proton-transporting two-sector ATPase complex, catalytic domain; proteasome complex; histone acetyltransferase complex; monoatomic ion channel complex; endopeptidase complex; protein acetyltransferase complex; acetyltransferase complex; H4 histone acetyltransferase complex; focal adhesion; cell-substrate junction; peptidase complex; cation channel complex; PcG protein complex","0.00109522023709025; 0.0038987966608567; 0.00444972502871924; 0.0110617761692026; 0.0205388318983572; 0.0205388318983572; 0.0205388318983572; 0.0269018708633568; 0.028545996724631; 0.051291969537972; 0.051291969537972; 0.104579739907975; 0.120143715758373; 0.130524789946697; 0.130524789946697; 0.130946063765135; 0.156441770199756; 0.156441770199756; 0.168757885867003; 0.214458991634477; 0.252243702111047; 0.252243702111047; 0.287430175701511; 0.291115768449075; 0.300002820612767; 0.300337367734347; 0.31278378129984; 0.322478152713614; 0.342117148937073; 0.403600497444405"
"brown","AD_binary; herv_HERVH.int; herv_HERVL.int; herv_HERVK11.int; herv_HERV3.int; herv_HERVK14.int; herv_HERVK.int; herv_HERVE.int; herv_HERVK9.int; herv_HERVK3.int; herv_HERVK22.int; herv_HERVK13.int; herv_HERV17.int; herv_HERV.Fc1.int","0.099; 0.074; 0.059; 0.041; 0.039; 0.032; 0.031; 0.025; 0.024; 0.023; 0.022; -0.013; -0.013; -0.005",500,"KCNIP4; CADM2; LSAMP; NRXN1; PCDH9; CSMD1; PTPRD; RBFOX1; LRP1B; OPCML; LRRTM4; NRG3; FGF14; RALYL; CNTNAP2; DPP10; SYT1; NAV3; SNTG1; NRXN3; NEGR1; KCNQ5; NKAIN2; CTNNA2; TENM2; NCAM2; ANKS1B; ADGRB3; IL1RAPL1; MARCHF1","neuron projection; synaptic membrane; postsynaptic specialization; postsynapse; postsynaptic density; neuron to neuron synapse; asymmetric synapse; axon; somatodendritic compartment; postsynaptic membrane; dendrite; dendritic tree; glutamatergic synapse; plasma membrane region; postsynaptic specialization membrane; presynaptic membrane; postsynaptic density membrane; main axon; dendritic spine; neuron spine; monoatomic ion channel complex; presynapse; excitatory synapse; distal axon; potassium channel complex; voltage-gated potassium channel complex; cation channel complex; GABA-ergic synapse; growth cone; cell body","6.03402666066814e-24; 9.41288833186404e-21; 2.68648917580248e-19; 3.67189640835878e-19; 1.89544596141919e-18; 3.88153845814752e-18; 7.47660047408002e-18; 1.71621509770271e-14; 6.94803965148746e-14; 1.76838280492311e-13; 4.22945425342539e-13; 4.22945425342539e-13; 5.875041958105e-12; 1.38585289670925e-10; 4.76805767514499e-10; 8.6671668202491e-10; 3.08639037330051e-09; 1.26082061412636e-08; 2.32230891798494e-08; 2.99501352046122e-08; 6.04186083786963e-08; 6.11171618461925e-08; 2.08456899799055e-06; 2.75504641489205e-06; 4.1552928778093e-06; 1.17650655542558e-05; 2.53874981643706e-05; 8.46486522430116e-05; 0.000101922620629154; 0.000113489174801114"
"turquoise","AD_binary; herv_HERVK3.int; herv_HERV3.int; herv_HERVH.int; herv_HERVK.int; herv_HERV17.int; herv_HERV.Fc1.int; herv_HERVK11.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVL.int; herv_HERVK9.int; herv_HERVE.int; herv_HERVK13.int","0.136; 0.065; 0.054; 0.046; -0.041; -0.033; -0.019; -0.018; 0.017; -0.013; 0.011; 0.011; 0.003; -0.001",953,"FLT1; CLDN5; ELOVL7; ABCB1; HERC2P3; VWF; ST6GALNAC3; SLC7A5; EGFL7; PODXL; ATP10A; MECOM; PTPRB; SLC7A1; SLCO4A1; ANO2; DOCK9; TGM2; MT2A; HLA-E; TMSB10; FLI1; GALNT18; PECAM1; ADGRL4; SLC2A1; ITM2A; ADIPOR2; SLC16A1; ID1","ribosomal subunit; cytosolic ribosome; anchoring junction; ribosome; cell-substrate junction; focal adhesion; cytosolic large ribosomal subunit; large ribosomal subunit; side of membrane; apical part of cell; external side of plasma membrane; cytosolic small ribosomal subunit; plasma membrane region; cell surface; apical plasma membrane; cell-cell junction; small ribosomal subunit; membrane raft; membrane microdomain; actin cytoskeleton; basal part of cell; secretory granule; basal plasma membrane; adherens junction; basolateral plasma membrane; small-subunit processome; secretory vesicle; preribosome; actin-based cell projection; microvillus","4.78895086054475e-19; 9.0885889505733e-19; 4.60762259764823e-17; 5.60930943829015e-16; 1.09824232957073e-14; 2.4570072335545e-14; 4.14289087854598e-14; 5.14555774669591e-13; 2.29343769692464e-11; 2.53142886825209e-09; 4.45641846977176e-09; 7.14816136228844e-09; 2.1477190850291e-08; 2.5824720309128e-08; 1.23108709231904e-07; 1.51034681517177e-07; 4.68978122324398e-07; 5.65820386374539e-07; 7.4077465054782e-07; 2.6056240845925e-06; 5.08678796897922e-06; 6.26801142357994e-06; 1.0050488926621e-05; 1.53602086407413e-05; 2.31063112213196e-05; 2.73128163192546e-05; 5.95203907933516e-05; 0.000173466504291631; 0.0014578016058212; 0.00218547488927599"
"yellow","herv_HERVL.int; herv_HERVH.int; herv_HERV17.int; herv_HERVK22.int; herv_HERVK9.int; herv_HERVK3.int; herv_HERV3.int; herv_HERVK14.int; herv_HERVK.int; herv_HERV.Fc1.int; herv_HERVE.int; herv_HERVK13.int; herv_HERVK11.int; AD_binary","0.144; 0.129; 0.105; 0.102; 0.098; 0.087; 0.079; 0.069; 0.045; -0.014; -0.013; 0.013; 0.011; 0.007",299,"IGFBP7; ARHGAP29; SPARC; RHOJ; RB1; FN1; N4BP2L2; MTUS1; HNRNPA2B1; BTG1; C2CD2; ETS1; PTMS; ECE1; CAMK2D; SIPA1L2; LGALS1; ARHGAP26; RUFY3; PDS5B; SMIM3; TBX3; SEM1; RALGAPB; STAG2; STAG1; CD151; ZNF207; ADAMTS9; DNAJC15","FAR/SIN/STRIPAK complex; chromosome, centromeric region; chromosomal region; spliceosomal complex; oxidoreductase complex; transferase complex; nuclear matrix; nuclear body; mitochondrial envelope; ISWI-type complex; organelle inner membrane; methyltransferase complex; mitochondrial inner membrane; nuclear protein-containing complex; mitochondrial membrane; autophagosome; catalytic step 2 spliceosome; ubiquitin ligase complex; nuclear periphery; cis-Golgi network; replication fork; Cul2-RING ubiquitin ligase complex; sarcoplasmic reticulum membrane; autophagosome membrane; transcription elongation factor complex; early endosome; cytoplasmic stress granule; organelle envelope; Cajal body; dynein complex","0.55292019796313; 0.55292019796313; 0.55292019796313; 0.613503495219431; 0.613503495219431; 0.613503495219431; 0.613503495219431; 0.613503495219431; 0.613503495219431; 0.613503495219431; 0.613503495219431; 0.63966745362813; 0.69838763624526; 0.699078602310944; 0.699078602310944; 0.699078602310944; 0.699078602310944; 0.699078602310944; 0.699078602310944; 0.766364673254568; 0.766364673254568; 0.766364673254568; 0.766364673254568; 0.766364673254568; 0.766364673254568; 0.766364673254568; 0.766364673254568; 0.766364673254568; 0.766364673254568; 0.766364673254568"
"green","AD_binary; herv_HERVH.int; herv_HERVK3.int; herv_HERVL.int; herv_HERVK22.int; herv_HERVK13.int; herv_HERV3.int; herv_HERVK9.int; herv_HERVK.int; herv_HERVK11.int; herv_HERVK14.int; herv_HERV.Fc1.int; herv_HERV17.int; herv_HERVE.int","0.127; 0.056; 0.043; 0.04; 0.038; -0.036; 0.035; 0.02; -0.019; 0.014; 0.011; -0.009; -0.006; -0.005",81,"HSPA1A; HSP90AA1; HSPB1; HSPH1; DNAJB1; HSP90AB1; ANKRD37; HSPD1; SERPINH1; DNAJA1; FKBP4; SELENOW; HSPA8; UBB; PTGES3; RPS15; ZFP36L1; CHORDC1; HSPA5; CACYBP; OST4; STIP1; FXR1; HSPA4L; HNRNPH1; P4HA1; CARHSP1; SQSTM1; HSPA4; PAPOLA","protein folding chaperone complex; COP9 signalosome; melanosome; pigment granule; intracellular protein-containing complex; cell body; supramolecular complex; ficolin-1-rich granule; aggresome; ficolin-1-rich granule lumen; axonal growth cone; supramolecular fiber; microtubule; supramolecular polymer; endocytic vesicle; endoplasmic reticulum protein-containing complex; P-body; sperm flagellum; blood microparticle; secretory granule; cytoplasmic ribonucleoprotein granule; 9+2 motile cilium; neuronal cell body; ribonucleoprotein granule; inclusion body; phagocytic vesicle; axon cytoplasm; male germ cell nucleus; lytic vacuole; lysosome","1.14220340025396e-09; 0.0225830969656361; 0.0285529298480903; 0.0285529298480903; 0.0384335384001896; 0.0384335384001896; 0.0384335384001896; 0.0462333739394304; 0.0462333739394304; 0.0462333739394304; 0.0767211519146868; 0.0767211519146868; 0.0767211519146868; 0.0767211519146868; 0.106326215898412; 0.106326215898412; 0.108038895985736; 0.157443387819194; 0.157443387819194; 0.16339797457306; 0.16339797457306; 0.16339797457306; 0.182084221831396; 0.182084221831396; 0.193778454511444; 0.193778454511444; 0.214573413183451; 0.220601330986469; 0.220601330986469; 0.220601330986469"
"black","AD_binary; herv_HERVH.int; herv_HERVK3.int; herv_HERVK22.int; herv_HERV3.int; herv_HERVL.int; herv_HERVK.int; herv_HERV17.int; herv_HERV.Fc1.int; herv_HERVK13.int; herv_HERVK9.int; herv_HERVK11.int; herv_HERVE.int; herv_HERVK14.int","0.079; 0.065; 0.064; 0.048; 0.04; 0.033; -0.032; 0.023; -0.018; -0.014; 0.013; -0.011; -0.006; -0.006",71,"GAPDH; CD63; GNG11; GSTP1; RPS7; ATP5F1E; VAMP5; RPS5; CSTB; SRP14; EVA1B; ENSG00000268756; RABAC1; UBL5; NACA; SERINC1; SERINC3; PCBP1; NDUFB2; TUBB4B; HSP90B1; NDUFS6; CYSTM1; H2AZ1; RBM17; BTF3; DAD1; PCBP2; PSMA7; NDUFS5","endoplasmic reticulum protein-containing complex; membrane protein complex; perinuclear region of cytoplasm; NADH dehydrogenase complex; respiratory chain complex I; respiratory chain complex; ribonucleoprotein complex; rough endoplasmic reticulum membrane; heterochromatin; multivesicular body; extrinsic component of cytoplasmic side of plasma membrane; oxidoreductase complex; transmembrane transporter complex; ficolin-1-rich granule lumen; euchromatin; transporter complex; small-subunit processome; rough endoplasmic reticulum; cytosolic small ribosomal subunit; lipid droplet; preribosome; secretory granule lumen; cytoplasmic vesicle lumen; vesicle lumen; small ribosomal subunit; mitochondrial inner membrane; nuclear periphery; ficolin-1-rich granule; endoplasmic reticulum membrane; endoplasmic reticulum subcompartment","0.110472817272541; 0.110472817272541; 0.110472817272541; 0.110472817272541; 0.110472817272541; 0.175529772772773; 0.476903929926383; 0.479038415813515; 0.502307526986408; 0.701327178601989; 0.701327178601989; 0.701327178601989; 0.701327178601989; 0.701327178601989; 0.705293415896879; 0.715944798331846; 0.715944798331846; 0.715944798331846; 0.715944798331846; 0.715944798331846; 0.715944798331846; 0.715944798331846; 0.715944798331846; 0.715944798331846; 0.744677673269664; 0.744677673269664; 0.744677673269664; 0.744677673269664; 0.744677673269664; 0.744677673269664"
