"module","trait","cor","n_gene","hub_gene","GO","GO_padj"
"brown","AD_binary; herv_HERV17.int; herv_HERVE.int; herv_HERVH.int; herv_HERVL.int; herv_HERVK9.int; herv_HERVK3.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK.int; herv_HERV3.int; herv_HERVK13.int; herv_HERV.Fc1.int","-0.169; 0.1; 0.097; 0.093; 0.078; 0.071; 0.066; 0.051; 0.048; 0.019; 0.013; 0.011; 0.009; -0.003",587,"APOD; CD81; MARCKSL1; FTH1; OLIG1; GAPDH; MT3; SLC22A17; BCAN; CST3; ITM2C; MARCKS; MT2A; TSPAN7; ATP1B2; ITM2B; SCRG1; HNRNPH1; CLU; ACTG1; FTL; HTRA1; RAMP1; KCNMB2-AS1; ENSG00000303855; RPL13; PCSK1N; PRDX1; ZFPM2-AS1; TALAM1","structural constituent of ribosome; structural molecule activity; proton transmembrane transporter activity; oxidoreduction-driven active transmembrane transporter activity; electron transfer activity; oxidoreductase activity; antioxidant activity; primary active transmembrane transporter activity; active monoatomic ion transmembrane transporter activity; NADH dehydrogenase (ubiquinone) activity; sulfur compound binding; oxidoreductase activity, acting on a sulfur group of donors; proton channel activity; active transmembrane transporter activity; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; oxidoreductase activity, acting on NAD(P)H; glycosaminoglycan binding; protein-disulfide reductase activity; amide binding; inorganic cation transmembrane transporter activity; disulfide oxidoreductase activity; rRNA binding; protein-containing complex binding; monoatomic cation transmembrane transporter activity; inorganic molecular entity transmembrane transporter activity; molecular function inhibitor activity; heparin binding; collagen binding; signaling receptor binding; monoatomic ion transmembrane transporter activity","8.55850306761203e-19; 1.6651887316562e-10; 4.49393574280108e-08; 2.15402718945269e-06; 5.39575656050571e-06; 2.13585062114877e-05; 3.6462029968242e-05; 9.74555586615744e-05; 0.00032173359917167; 0.00187943524954708; 0.00318238063012505; 0.00359181487535046; 0.00360044584700416; 0.00360044584700416; 0.00360044584700416; 0.00575274178799966; 0.00575274178799966; 0.00575274178799966; 0.00712262803361336; 0.00738243465435356; 0.00770317761351315; 0.00770317761351315; 0.00920810764525327; 0.0140998928179882; 0.0142430666646905; 0.0142430666646905; 0.0191909575541545; 0.0208143133872116; 0.0219496020475489; 0.0219772345622186"
"red","AD_binary; herv_HERVE.int; herv_HERVK.int; herv_HERV17.int; herv_HERVH.int; herv_HERVL.int; herv_HERVK22.int; herv_HERVK3.int; herv_HERV3.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK9.int; herv_HERV.Fc1.int; herv_HERVK13.int","-0.106; 0.088; -0.035; 0.03; 0.026; -0.017; -0.016; 0.015; -0.015; -0.008; -0.007; -0.004; 0.003; -0.002",188,"ACTB; CKB; LY6H; GPR37L1; CSPG5; METRN; PLLP; C1QL1; MIR9-1HG; JUND; THY1; PPP2R1A; PKM; TTYH1; NEU4; EEF1A2; HNRNPK; TRAF4; DCXR; GDI1; NRGN; TPI1; CALM1; TUBA1B; ATP6V0E2; TTC9B; NICOL1; PRNP; UQCRC1; RTL8C","calcium-dependent protein binding; GDP-dissociation inhibitor activity; GTPase activator activity; GTPase regulator activity; nucleoside-triphosphatase regulator activity; molecular function activator activity; syntaxin-1 binding; structural constituent of cytoskeleton; inorganic cation transmembrane transporter activity; primary active transmembrane transporter activity; inorganic molecular entity transmembrane transporter activity; monoatomic cation transmembrane transporter activity; cytoskeletal protein binding; ATPase-coupled ion transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of ions, rotational mechanism; proton-transporting ATPase activity, rotational mechanism; enzyme activator activity; monoatomic ion transmembrane transporter activity; transmembrane transporter activity; transmembrane transporter binding; channel activity; passive transmembrane transporter activity; signaling receptor binding; proton transmembrane transporter activity; kinase binding; actin binding; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; transporter activity; protein serine/threonine kinase inhibitor activity; gated channel activity","0.13507512443738; 0.160979440956696; 0.160979440956696; 0.160979440956696; 0.160979440956696; 0.160979440956696; 0.160979440956696; 0.160979440956696; 0.160979440956696; 0.160979440956696; 0.166957945371653; 0.186736389863878; 0.186736389863878; 0.186736389863878; 0.186736389863878; 0.186736389863878; 0.186736389863878; 0.186736389863878; 0.192172673925626; 0.192172673925626; 0.192172673925626; 0.192172673925626; 0.236380309635015; 0.236380309635015; 0.236380309635015; 0.236380309635015; 0.236380309635015; 0.244171880643406; 0.255568213371686; 0.279177244221602"
"blue","herv_HERVL.int; herv_HERVK9.int; herv_HERVK.int; herv_HERVH.int; herv_HERVK22.int; herv_HERV17.int; herv_HERV3.int; herv_HERVK13.int; herv_HERVK14.int; herv_HERVK3.int; herv_HERVK11.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.213; 0.199; 0.157; 0.138; 0.13; 0.123; 0.122; 0.103; 0.1; 0.099; 0.09; 0.076; -0.069; 0.015",783,"NAV2; XYLT1; MEGF11; LINC00511; KCNIP1; GRID1; DOCK1; CHST11; TRIO; TMEM132C; DGKG; CAMTA1; DANT2; SHISA9; KCNMA1; SORCS3; LDLRAD3; CSGALNACT1; ZDHHC14; SLC24A3; PTPRG; UPF3A; PTK2; TRIM9; SGCD; KCNQ1OT1; NEBL; RPS6KA2; ADAMTS17; TMEM132B","monoatomic cation channel activity; voltage-gated channel activity; gated channel activity; metal ion transmembrane transporter activity; voltage-gated monoatomic cation channel activity; voltage-gated monoatomic ion channel activity; guanyl-nucleotide exchange factor activity; channel activity; passive transmembrane transporter activity; monoatomic ion channel activity; voltage-gated calcium channel activity; monoatomic cation transmembrane transporter activity; calcium channel activity; protein tyrosine phosphatase activity; calcium ion transmembrane transporter activity; sodium ion transmembrane transporter activity; monoatomic ion transmembrane transporter activity; kinase activity; potassium ion transmembrane transporter activity; phosphotransferase activity, alcohol group as acceptor; inorganic cation transmembrane transporter activity; potassium channel activity; inorganic molecular entity transmembrane transporter activity; GTPase regulator activity; nucleoside-triphosphatase regulator activity; transmembrane transporter activity; ligase activity, forming carbon-nitrogen bonds; ligand-gated monoatomic cation channel activity; protein phosphatase binding; RNA endonuclease activity","0.0203502088237755; 0.0203502088237755; 0.0203502088237755; 0.0203502088237755; 0.0250680033292153; 0.0273487273870515; 0.0273487273870515; 0.027468616000042; 0.027468616000042; 0.0327592474857356; 0.0466642074855632; 0.0557671792623712; 0.0557671792623712; 0.113526104117205; 0.113526104117205; 0.113526104117205; 0.125401556767075; 0.14058971455258; 0.14058971455258; 0.152263261629439; 0.161486007774824; 0.161486007774824; 0.227202297398133; 0.255313608199038; 0.255313608199038; 0.29336194369599; 0.318706899125162; 0.319631967828943; 0.362753460531881; 0.365947698293452"
"yellow","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK.int; herv_HERV17.int; herv_HERV3.int; herv_HERVK11.int; herv_HERVK3.int; herv_HERVK14.int; herv_HERVK13.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.189; 0.169; 0.139; 0.124; 0.108; 0.097; 0.095; 0.095; 0.09; 0.071; 0.057; 0.028; -0.013; 0.012",241,"PCDH15; CSMD3; NLGN1; TANC2; LUZP2; MDGA2; GRID2; CTNND2; SOX5; BRINP3; LRRC7; NRCAM; SOX6; LRRC4C; KLF12; PDE4B; ZBTB20; SLC35F1; LRRTM4; NPAS3; DMD; IL1RAPL1; GALNT13; ADGRL3; LRP1B; KAT2B; ZEB1; ANKS1B; DCC; ERBB4","glutamate receptor activity; signaling receptor activity; molecular transducer activity; postsynaptic neurotransmitter receptor activity; transmembrane signaling receptor activity; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential; neurotransmitter receptor activity; neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential; glutamate-gated receptor activity; transmitter-gated monoatomic ion channel activity; transmitter-gated channel activity; signaling receptor binding; extracellular ligand-gated monoatomic ion channel activity; cell adhesion molecule binding; calcium ion binding; ion channel regulator activity; ligand-gated monoatomic ion channel activity; channel regulator activity; ligand-gated channel activity; E-box binding; transporter regulator activity; gated channel activity; ligand-gated monoatomic cation channel activity; potassium channel activity; ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential; ligand-gated sodium channel activity; monoatomic ion channel activity; monoatomic cation channel activity; amino acid transmembrane transporter activity; channel activity","7.35415235808893e-07; 7.35415235808893e-07; 7.35415235808893e-07; 1.50331546571912e-05; 1.50331546571912e-05; 4.64654107972602e-05; 6.15567393396033e-05; 9.83929106163702e-05; 0.000113181039117939; 0.000113181039117939; 0.000113181039117939; 0.000139414655515673; 0.000146566449050656; 0.000223106156728759; 0.000263419482702447; 0.00267645272937263; 0.00406792346812982; 0.00413102328851365; 0.00413102328851365; 0.00413102328851365; 0.0044432050915005; 0.00449061371522316; 0.00532204280823321; 0.00616390368514829; 0.00681958514501082; 0.00998606320807012; 0.0139350080139691; 0.0139350080139691; 0.0139350080139691; 0.0168214362140219"
"green","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERV17.int; herv_HERVE.int; herv_HERVK3.int; herv_HERVK.int; herv_HERVK22.int; herv_HERV3.int; AD_binary; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK13.int; herv_HERV.Fc1.int","0.131; 0.129; 0.102; 0.089; 0.089; 0.086; 0.076; 0.074; 0.068; -0.064; 0.059; 0.049; 0.038; 0.005",83,"SRSF11; SYT11; SUMF1; ADGRB3-DT; SLC25A36; B2M; LINC01572; GOLGA8B; BTD; GNAI2; ENO1; PDCD6IP; TIMP3; PIAS2; URI1; STAT1; SS18; TMEM87A; IFI44; ENSG00000279622; LPL; ATAD1; MYEF2; CTSO; ORMDL1; ATP5F1C; ABCD3; TM9SF3; LHFPL3-AS1; ENSG00000269707","oxidoreductase activity, acting on a sulfur group of donors; extracellular matrix structural constituent conferring tensile strength; disulfide oxidoreductase activity; structural molecule activity; oxidoreductase activity; endopeptidase inhibitor activity; peptidase inhibitor activity; extracellular matrix structural constituent; endopeptidase regulator activity; primary active transmembrane transporter activity; protein homodimerization activity; protein-disulfide reductase activity; protein transporter activity; ATPase-coupled transmembrane transporter activity; peptidase regulator activity; pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; ribonucleoside triphosphate phosphatase activity; ATP-dependent activity; glycosaminoglycan binding; isomerase activity; protein-containing complex binding; clathrin binding; lipase activity; carbon-oxygen lyase activity; transcription coregulator activity; proton transmembrane transporter activity; enzyme inhibitor activity; G protein-coupled receptor binding","0.0371634559826289; 0.0507425041862533; 0.0830530208837122; 0.155651875159987; 0.180794817655467; 0.180794817655467; 0.180794817655467; 0.180794817655467; 0.212361196116026; 0.254685246561481; 0.262128854251644; 0.262128854251644; 0.262128854251644; 0.262128854251644; 0.262128854251644; 0.262128854251644; 0.262128854251644; 0.262128854251644; 0.431370040821521; 0.431370040821521; 0.431370040821521; 0.431370040821521; 0.431370040821521; 0.451143921314534; 0.451143921314534; 0.451143921314534; 0.451143921314534; 0.451143921314534; 0.451143921314534; 0.451143921314534"
"turquoise","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERV17.int; herv_HERVK.int; herv_HERVK3.int; herv_HERVK11.int; herv_HERVK14.int; herv_HERV3.int; herv_HERVK13.int; herv_HERVE.int; herv_HERV.Fc1.int; AD_binary","0.218; 0.192; 0.161; 0.15; 0.117; 0.116; 0.095; 0.093; 0.093; 0.09; 0.056; 0.054; 0.013; -0.012",1038,"MKLN1; MAP4K5; ZNF638; PPP1R12A; PHYHIPL; PEAK1; SCN1A; CTTNBP2; PHACTR3; ANKRD28; DNER; HIBCH; ZDHHC21; ARHGAP21; MEG8; CDK14; NF1; CLASP1; SETD5; ASB3; SOS1; CDH10; LINC-PINT; SLC9A9; COL11A1; DOCK4; FAM135A; FER; SCN3A; PHF14","ATP-dependent protein folding chaperone; protein folding chaperone; heat shock protein binding; unfolded protein binding; protein-folding chaperone binding; miRNA binding; regulatory RNA binding; single-stranded DNA binding; pre-mRNA binding; ATPase regulator activity; histone acetyltransferase activity; damaged DNA binding; N-acyltransferase activity; transcription corepressor activity; phospholipase activity; peptide-lysine-N-acetyltransferase activity; histone H3 acetyltransferase activity; extracellular matrix structural constituent conferring tensile strength; peptide N-acetyltransferase activity; chromatin-protein adaptor activity; isomerase activity; DNA secondary structure binding; ATPase activator activity; histone H4 acetyltransferase activity; protein-RNA adaptor activity; methylation-dependent protein binding; N-acetyltransferase activity; nucleotidyltransferase activity; protein kinase C binding; chromatin binding","2.14947434453442e-05; 0.000410287488300816; 0.00451687073073353; 0.0915036625391847; 0.311580548094528; 0.311580548094528; 0.311580548094528; 0.593487911450505; 0.593487911450505; 0.735127520003333; 0.917297451209842; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661; 0.999955294678661"
