"subcluster","brown_score_1","red_score_1","turquoise_score_1","yellow_score_1","green_score_1","blue_score_1"
"0",0.268219885761517,0.573642760004146,0.86224757831056,-0.08977097050708,0.123371214985027,-0.204293077562478
"1",0.26722753378254,0.329497290995648,0.589600213722869,0.0599126817389564,0.919597413378096,-0.0557657540391816
"2",0.267888086993375,0.121504787068727,0.205272380313356,0.142421186943301,0.790268481425757,0.560028997678768
"3",0.236597102384005,1.00764837560597,0.201573023788498,0.918500708159065,0.115176420547463,0.285690600686504
"4",0.271264892513895,0.0990128057113874,0.186965739150447,0.121963989291473,0.962181831614961,0.511704928094879
"5",0.286227246539262,0.124261036780328,0.197066213054802,0.0880505126474294,0.889708995950517,0.48862458621201
"6",0.253208910513065,0.335059817779074,0.221858337002294,0.400221457535111,0.63624712061524,0.454303436303127
"7",0.237661967022706,0.884076795214763,0.584765577395232,0.115914054328009,0.221647587449848,-0.0530979359565793
"8",0.295445990024741,1.00208129248374,0.348970401210845,0.757460989211036,0.0884137849608824,0.166300712815929
"9",0.337596066822968,0.410546291114585,0.229235164154488,0.276891365167784,0.731244344328379,0.356956068260475
"10",0.270222148234596,0.366376184399306,0.670727291275406,0.0100683903086295,0.545987577506621,-0.0647267613255195
"11",0.403313148646814,0.133381365897347,0.25712638361093,0.209783262343381,0.839908649546339,0.504587817417109
"12",0.354570115922139,0.379781874711737,0.608850268474342,0.0407812945963691,0.873261147796324,-0.00872039786658196
"13",0.70504198786484,0.283004254736885,0.168436424041424,0.138690856574582,0.39103827967842,0.160313395938946
