"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HML3-1q32.1b","TMEM63A",1,"mean","donor",-0.0623481781376518,0.706126558664624,39,0.0394869801787796,0.0355227361057132,0.706126558664624
2,"HML3-1q32.1b","PIK3C2B",1,"mean","donor",-0.0208502024291498,0.899742524035399,39,0.0394869801787796,0.106490478041197,0.899742524035399
3,"HML3-1q32.1b","SLC13A3",1,"mean","donor",-0.108502024291498,0.51086303970829,39,0.0394869801787796,0.0982510687912942,0.51086303970829
1,"HERVK11-2p12","TMEM63A",1,"mean","donor",0.303036437246964,0.0607579033549707,39,0.117994558880684,0.0355227361057132,0.0607579033549707
2,"HERVK11-2p12","PIK3C2B",1,"mean","donor",-0.0506072874493927,0.759638210280471,39,0.117994558880684,0.106490478041197,0.759638210280471
3,"HERVK11-2p12","SLC13A3",1,"mean","donor",-0.0587044534412955,0.722598743493708,39,0.117994558880684,0.0982510687912942,0.722598743493708
