"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HARLEQUIN-6p21.31","STAT3",1,"mean","donor",0.153238866396761,0.351668619423868,39,0.0286697247706422,0.417048929663609,0.351668619423868
2,"HARLEQUIN-6p21.31","PLSCR1",1,"mean","donor",0.210728744939271,0.197850224667151,39,0.0286697247706422,0.325688073394495,0.197850224667151
3,"HARLEQUIN-6p21.31","MAP3K14",1,"mean","donor",-0.37995951417004,0.0170376400135249,39,0.0286697247706422,0.0825688073394495,0.0170376400135249
1,"HML1-1q32.1","COLEC12",1,"mean","donor",0.226315789473684,0.165927295889564,39,0.0237003058103976,0.386850152905199,0.165927295889564
2,"HML1-1q32.1","ABCC9",1,"mean","donor",0.155465587044534,0.344629644384741,39,0.0237003058103976,0.264908256880734,0.344629644384741
3,"HML1-1q32.1","TPST1",1,"mean","donor",0.144736842105263,0.379338888883808,39,0.0237003058103976,0.135321100917431,0.379338888883808
