,celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
59,Oligo,31245,42753,ERV3-16A3-I-int,0.002136127,-0.062103302,0.312,0.322,0.128167639
60,Oligo,31245,42753,LTR25-int,0.004233227,0.182311463,0.087,0.08,0.253993602
61,Oligo,31245,42753,Harlequin-int,0.005525183,0.092437327,0.444,0.434,0.331510959
62,Oligo,31245,42753,ERVL-B4-int,0.007781543,-0.004544632,0.289,0.284,0.466892562
63,Oligo,31245,42753,HUERS-P3-int,0.013118416,-0.045261841,0.061,0.066,0.787104949
64,Oligo,31245,42753,HERVS71-int,0.018450522,-0.017663087,0.061,0.066,1
65,Oligo,31245,42753,MER4B-int,0.034755123,0.054736303,0.301,0.293,1
66,Oligo,31245,42753,HERVK9-int,0.037188698,0.09472345,0.209,0.202,1
67,Oligo,31245,42753,MER34B-int,0.046912275,-0.052983295,0.051,0.055,1
68,Oligo,31245,42753,MER4-int,0.047289911,-0.01349813,0.344,0.352,1
69,Oligo,31245,42753,HERVK14-int,0.070857985,0.180754132,0.059,0.055,1
70,Oligo,31245,42753,HERVK13-int,0.124627241,-0.020979932,0.118,0.123,1
71,Oligo,31245,42753,HERVP71A-int,0.148124328,-0.08739732,0.086,0.086,1
72,Oligo,31245,42753,HERVIP10FH-int,0.202067781,-0.000160788,0.272,0.27,1
73,Oligo,31245,42753,HUERS-P1-int,0.327633046,0.078332057,0.093,0.089,1
74,Oligo,31245,42753,ERVL-E-int,0.35928316,-0.00761053,0.381,0.382,1
75,Oligo,31245,42753,HERVL40-int,0.375436983,0.032003619,0.187,0.191,1
76,Oligo,31245,42753,HERVK3-int,0.641289356,0.012880481,0.077,0.078,1
77,Oligo,31245,42753,HUERS-P3b-int,0.851498001,0.030837193,0.082,0.083,1
78,Oligo,31245,42753,HERV4-I-int,0.88171859,0.086095634,0.089,0.089,1
79,Oligo,31245,42753,HERV9-int,0.914833581,0.017304623,0.076,0.076,1
80,Oligo,31245,42753,PRIMA41-int,0.981553158,-0.00623476,0.056,0.056,1
81,Astro,9388,12032,MER4-int,3.54E-17,-0.223081739,0.406,0.463,2.12E-15
82,Astro,9388,12032,HERVK9-int,4.07E-11,-0.183254117,0.359,0.404,2.44E-09
83,Astro,9388,12032,MER61-int,3.22E-08,-0.258800213,0.12,0.148,1.93E-06
