"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERV1",2.57698492655279e-73,0.0297736266465076,0.987,0.989,1.03079397062112e-72
"HERV-total",3.22911795247469e-21,0.0010605375673105,0.987,0.989,1.29164718098988e-20
"ERVK",5.33082590074653e-09,0.00927534822746967,0.911,0.916,2.13233036029861e-08
"ERVL",3.2245434313287e-07,-0.0179743844745968,0.987,0.989,1.28981737253148e-06
