"celltype","n_NC","n_AD","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Excit",26896,31494,"HERVL40-6q22.32",0.0460581571327934,0.0972467103739691,0.055,0.052,1
"Excit",26896,31494,"PRIMA4-10p12.1",0.066272556141077,-0.0196891035461113,0.135,0.142,1
"Excit",26896,31494,"HML3-5p15.33c",0.0666480241927874,0.128411223569637,0.05,0.046,1
"Excit",26896,31494,"LTR25-9q13b",0.0950664929030581,-0.0516881878344382,0.056,0.06,1
"Excit",26896,31494,"HML6-19q13.43b",0.118494723909528,-0.00374780849874012,0.07,0.074,1
"Excit",26896,31494,"HERVH-Xq13.2c",0.174601543358205,0.0841568856601844,0.064,0.066,1
"Excit",26896,31494,"MER4-8q24.3b",0.21910618235039,0.0433559776442913,0.048,0.05,1
"Excit",26896,31494,"HERVH-15q26.3b",0.268676091142847,-0.0110475769930014,0.056,0.059,1
"Excit",26896,31494,"MER61-4p16.3",0.308119302131574,0.0932237764049759,0.104,0.104,1
"Excit",26896,31494,"MER41-21q22.11b",0.444986656630196,0.0120192189945332,0.066,0.065,1
"Excit",26896,31494,"MER41-16q21",0.445821119847586,-0.0452598376333291,0.048,0.05,1
"Excit",26896,31494,"LTR25-9p11.2b",0.498957612341578,0.0256912412883112,0.056,0.058,1
"Excit",26896,31494,"HERVK11-2p12",0.610847145853564,0.0610460832054167,0.162,0.159,1
"Excit",26896,31494,"HERVIP10F-3p21.31",0.854601993996317,0.0343529078893909,0.057,0.057,1
"Excit",26896,31494,"HUERSP3B-Xp11.22",0.878919314105729,0.100664241843754,0.063,0.062,1
"Oligo",31245,42753,"MER41-13q13.3",1.21353078403669e-41,-0.575511301248185,0.053,0.078,3.13090942281466e-39
"Oligo",31245,42753,"HARLEQUIN-Xq23b",1.64505312468066e-30,-0.378246664328884,0.072,0.096,4.2442370616761e-28
"Oligo",31245,42753,"MER61-21q21.1a",1.9869028589467e-28,-0.323080450992446,0.122,0.151,5.1262093760825e-26
"Oligo",31245,42753,"MER61-21q21.1b",7.7337467859323e-28,-0.374777266324565,0.059,0.08,1.99530667077053e-25
"Oligo",31245,42753,"HERVW-15q21.2",5.09869604971944e-20,-0.397898420614423,0.056,0.073,1.31546358082761e-17
"Oligo",31245,42753,"HERVIP10F-3q29",6.82575090624765e-18,-0.266700153101447,0.097,0.116,1.76104373381189e-15
"Oligo",31245,42753,"HML2-3q12.3",1.9961843780136e-17,-0.209777127537574,0.169,0.192,5.15015569527509e-15
"Oligo",31245,42753,"ERV316A3-13q14.13",4.45991689520346e-15,-0.338066626219717,0.064,0.078,1.15065855896249e-12
"Oligo",31245,42753,"HERVL40-15q21.3",1.12856949880232e-10,-0.0441646745905442,0.074,0.086,2.91170930690998e-08
"Oligo",31245,42753,"HERVH-10q24.31a",1.92567202439479e-09,-0.034438815157475,0.062,0.072,4.96823382293857e-07
"Oligo",31245,42753,"HERVK11-15q15.1",3.39902764551018e-09,-0.233802222976877,0.054,0.064,8.76949132541627e-07
"Oligo",31245,42753,"HML5-2p13.2",5.8867424805763e-08,0.132790098564352,0.073,0.064,1.51877955998868e-05
"Oligo",31245,42753,"HML4-16p13.3",1.05038576333798e-07,-0.152342244559143,0.052,0.062,2.70999526941198e-05
"Oligo",31245,42753,"MER4B-12p12.1a",1.93006354800548e-07,0.264262446691319,0.082,0.071,4.97956395385414e-05
"Oligo",31245,42753,"MER41-9p24.1b",1.6334745330576e-06,-0.235770037900047,0.051,0.053,0.00042143642952886
"Oligo",31245,42753,"HARLEQUIN-1p36.33",3.99068052872922e-06,0.271378387356768,0.106,0.099,0.00102959557641214
"Oligo",31245,42753,"HML4-3q26.2",0.000120816524643255,0.0728782751459418,0.053,0.049,0.0311706633579597
"Oligo",31245,42753,"MER4B-7p14.3",0.000236946107419849,0.10165741659285,0.066,0.06,0.061132095714321
"Oligo",31245,42753,"HARLEQUIN-19p13.11",0.000869728620062965,0.212720263282019,0.079,0.072,0.224389983976245
