,celltype,n_NC,n_AD,feature,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
63,Inhib,12254,15060,HERVS,2.50E-08,0.122010896,0.199,0.173,4.50E-07
64,Inhib,12254,15060,HERVI,2.04E-07,0.00469136,0.402,0.38,3.68E-06
65,Inhib,12254,15060,HUERS,1.21E-06,0.026694321,0.327,0.308,2.18E-05
66,Inhib,12254,15060,HERVH,2.52E-06,-0.048918603,0.384,0.382,4.54E-05
67,Inhib,12254,15060,LTR,4.92E-06,0.034381354,0.335,0.315,8.86E-05
68,Inhib,12254,15060,HERVL,3.15E-05,0.014619145,0.449,0.427,0.00056701
69,Inhib,12254,15060,MER4,0.000736914,-0.045114051,0.711,0.708,0.013264457
70,Inhib,12254,15060,HERVK,0.005392531,-0.077717138,0.638,0.647,0.097065561
71,Inhib,12254,15060,HERVF,0.024535903,0.054175922,0.119,0.111,0.441646251
72,Inhib,12254,15060,ERVL,0.064135371,0.025552491,0.622,0.609,1
73,Endo,732,1884,HERVI,0.016985506,-0.546259727,0.151,0.168,0.3057391
74,Endo,732,1884,PRIMA,0.035209175,0.660320823,0.097,0.066,0.633765151
75,Endo,732,1884,ERV3,0.091326687,-0.007644158,0.167,0.138,1
76,Endo,732,1884,LTR,0.096986675,-0.353776585,0.109,0.102,1
77,Endo,732,1884,HERVK,0.108809281,0.013451893,0.419,0.385,1
78,Endo,732,1884,HERVE,0.124175669,1.256420568,0.052,0.044,1
79,Endo,732,1884,MER4,0.13862908,-0.132351459,0.532,0.541,1
80,Endo,732,1884,HERVH,0.147202214,-0.19520922,0.211,0.223,1
81,Endo,732,1884,HARLEQUIN,0.224488552,0.256514274,0.282,0.249,1
82,Endo,732,1884,HERVL,0.33942429,0.040015879,0.236,0.216,1
83,Endo,732,1884,ERV1,0.474008373,0.260969702,0.17,0.15,1
84,Endo,732,1884,ERVL,0.519437915,0.169640594,0.349,0.325,1
85,Endo,732,1884,HERVW,0.585520616,-0.261835661,0.117,0.124,1
86,Endo,732,1884,HUERS,0.667479427,0.003908873,0.135,0.133,1
87,Endo,732,1884,PAB,0.740306964,-0.149131908,0.06,0.061,1
88,Mic,4346,6060,HERVH,2.76E-10,-0.089062095,0.372,0.346,4.97E-09
89,Mic,4346,6060,HERVW,3.10E-10,-0.369937552,0.243,0.271,5.58E-09
90,Mic,4346,6060,HERVL,5.28E-10,-0.011010808,0.305,0.269,9.50E-09
91,Mic,4346,6060,ERVL,9.51E-10,0.08641796,0.434,0.379,1.71E-08
92,Mic,4346,6060,HERVI,2.54E-08,0.181376822,0.266,0.222,4.57E-07
93,Mic,4346,6060,LTR,2.59E-08,0.050902855,0.186,0.155,4.66E-07
94,Mic,4346,6060,HERVK,4.09E-08,-0.055037822,0.474,0.45,7.37E-07
95,Mic,4346,6060,MER4,0.00013204,-0.057597134,0.683,0.671,0.002376725
96,Mic,4346,6060,ERV3,0.000137822,-0.061458486,0.308,0.3,0.002480802
97,Mic,4346,6060,PRIMA,0.000643557,0.03259084,0.094,0.079,0.011584019
