"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERVK",1.4192576637508e-33,-0.0610140931578647,0.619,0.645,5.67703065500319e-33
"ERVL",5.50892651283211e-21,-0.0330581963393484,0.74,0.758,2.20357060513285e-20
"HERV-total",1.36938798686507e-12,-0.0198423110305326,0.965,0.967,5.47755194746027e-12
"ERV1",1.73424141084202e-06,-0.00534646809733852,0.922,0.928,6.93696564336807e-06
