"gene","avg_log2FC","p_val_adj"
"SMIM13",2.05583933446258,0
"COX5A",2.05498478215321,0
"ATP5MC1",2.05452256533412,0
"TPI1",2.0534970830816,0
"POLR2L",2.05136114121949,3.60858227361256e-312
"FABP3",2.04924207140178,0
"RANBP6",2.04738988778926,0
"NICOL1",2.04537692850867,0
"STMN1",2.04474001150074,0
"GDE1",2.04177993955133,4.27272298450827e-304
"MT3",2.04031528161958,0
"TSPYL5",2.03770915990566,7.56422013580765e-317
"RPL35A",2.03684794601132,0
"NSF",2.03597379832729,0
"RPL19",2.03496580228033,0
"UQCRC1",2.03494814774666,0
"SYNGR3",2.0331344588548,0
"CHGB",2.03213156736887,0
"MAGEE1",2.0318429744629,0
"KBTBD6",2.02814634752933,0
"CFL1",2.02711869010191,0
"CCDC85B",2.02701521325196,0
"NAP1L3",2.02688638685276,0
"CD81",2.02428529858925,0
"RNF6",2.02413531878977,5.81920778427616e-289
"DNAJA1",2.02379844318753,0
"SELENOW",2.02349619694149,0
"DHCR24",2.02323088032849,0
"THY1",2.02227347472033,0
"CNP",2.02082157582141,0
"ERBB4",2.02075679757602,0
"EIF4G2",2.01947826555642,0
"RPL8",2.01772105130395,0
"SNU13",2.01512646509253,0
"RPS21",2.01312116117117,0
"RPS28",2.0120443600013,0
"PNRC1",2.01141527822542,1.21662281904599e-317
"CIAO2B",2.01026789718639,0
"MYL12B",2.00864033762389,0
"SLC25A11",2.00719293627699,0
"SCOC",2.00343624226542,0
"TCEAL5",2.00057301945482,5.32108552453079e-309
"EIF4A2",1.99867575268032,0
"YWHAG",1.99622356342209,0
"RAC1",1.9956144172197,0
"CCK",1.99344849876765,0
"PNMA8C",1.99228023402373,0
"CSTB",1.99126668599828,0
"NFE2L1",1.99088075517569,0
"TPT1",1.98638418888955,0
"RPL4",1.98581700279796,0
"EIF1AX",1.98554055555735,0
"SLC25A4",1.98397720342708,0
"FBXO45",1.9823765029377,0
"CTSB",1.98216427905838,0
"RPL18",1.981461490468,0
"TCP1",1.97875884969083,0
"EID1",1.97860909053043,0
"SHISA5",1.97827351062739,0
"SDCBP",1.97801142997914,0
"YWHAB",1.97796719132845,0
"CNDP2",1.97614178241634,0
"CAPNS1",1.97529735176408,0
"SRPRA",1.97482668201156,0
"KBTBD11",1.97170462450515,0
"STMN2",1.97054287013522,0
"CANX",1.97035257275416,0
"ROPN1L-AS1",1.96893975254585,4.64000643258377e-294
